dataset,feature,gate_weight,leave_one_out_mse_utility,exact_shapley_mse_utility,gate_zero_lt_1e_6,gate_zero_positive_shapley,loo_signed_le_1e_6_positive_shapley,loo_absolute_le_1e_6_positive_shapley
brspeech,whisper,0.0298005546110899,-0.0048300732204232,-0.0486038394349953,False,False,False,False
brspeech,contentvec12,0.1532288829605517,0.0238018956296821,0.0884787982737205,False,False,False,False
brspeech,wavlm,0.3020849624986589,0.0238176849595056,0.1294953413915447,False,False,False,False
brspeech,beats,6.359258670189269e-18,-7.277932700944233e-10,0.0488491716875864,True,True,True,True
brspeech,auditory_erb,0.0,-1.0070307920884147e-09,0.0513788281018004,True,True,True,True
brspeech,speaker,1.7996308828059646e-16,-9.532512101895209e-08,0.1201659923333755,True,True,True,True
brspeech,rmvpe_cont,1.3897018102695086e-17,9.011485446741574e-09,0.0041731302452392,True,True,True,True
brspeech,rmvpe_quant,2.80813788978564e-17,6.96684204770648e-08,-0.0033499142704487,True,False,False,False
brspeech,ced,0.0,3.2773868730018314e-08,0.1242963011463594,True,True,True,True
brspeech,egemaps,0.5148855999296992,0.0152008341421522,0.1692932875149141,False,False,False,False
bvcc,whisper,0.2494835630140977,-0.0023920555665588,0.0656409766500212,False,False,True,False
bvcc,contentvec12,0.0613866786806006,0.002315348644519,0.0794300185706519,False,False,False,False
bvcc,wavlm,0.1672053955558224,0.0015861878040873,0.0938985319548183,False,False,False,False
bvcc,beats,0.2002818567803442,0.0106093315791433,0.113699189287165,False,False,False,False
bvcc,auditory_erb,3.700774296826724e-17,-9.364053510374505e-08,0.0231557485873749,True,True,True,True
bvcc,speaker,0.0994409088603685,0.0013632765161067,0.0857772467910995,False,False,False,False
bvcc,rmvpe_cont,2.347903861383996e-17,-1.0386481150148621e-07,0.0067889668954615,True,True,True,True
bvcc,rmvpe_quant,0.0,-1.0050276399997673e-07,0.0033863461246304,True,True,True,True
bvcc,ced,0.2222015971087664,0.0139275646257727,0.1157634226176209,False,False,False,False
bvcc,egemaps,0.0,-9.873161704865296e-09,0.0499943334078764,True,True,True,True
singmos,whisper,0.1035732959173086,0.0029960072804288,-0.0113154036986716,False,False,False,False
singmos,contentvec12,0.0761355702021474,-0.0025277700532762,-0.0004963243074456,False,False,False,False
singmos,wavlm,0.2156314321177969,0.0037315971238387,0.0320920259983602,False,False,False,False
singmos,beats,0.1525446447712445,0.00137194652039,0.0374934764541231,False,False,False,False
singmos,auditory_erb,1.0052997299597864e-17,-1.5407608577877596e-08,0.0180568906147349,True,True,True,True
singmos,speaker,0.0078033507166472,0.0001943445077137,0.0323836613083738,False,False,False,False
singmos,rmvpe_cont,6.998570022019254e-18,2.8730186729664098e-08,0.0111100055314321,True,True,True,True
singmos,rmvpe_quant,4.211818390662805e-18,5.894772231451739e-08,0.0027011972363721,True,True,True,True
singmos,ced,0.2313996295974314,0.0109186092294137,0.0604727140287626,False,False,False,False
singmos,egemaps,0.2129120766774237,0.0117138531856039,0.0578756062914452,False,False,False,False
tmhintqi,whisper,0.1921908739270383,0.0090795194726848,0.1039670745338689,False,False,False,False
tmhintqi,contentvec12,0.0716131980848846,0.0003072517821934,0.0804864305101313,False,False,False,False
tmhintqi,wavlm,0.1696860716470763,0.0064538339429027,0.1063505814746487,False,False,False,False
tmhintqi,beats,0.2710298853508606,0.0058108256927736,0.103502732861307,False,False,False,False
tmhintqi,auditory_erb,0.0,3.506651913287584e-09,0.0221572798267956,True,True,True,True
tmhintqi,speaker,0.0117587995048376,-1.1852257730815552e-06,0.0724033610184699,False,False,True,False
tmhintqi,rmvpe_cont,3.083088093186836e-17,4.94476531942567e-09,0.0023433231040376,True,True,True,True
tmhintqi,rmvpe_quant,7.518079151371956e-19,2.7420795079002853e-09,0.003210621525143,True,True,True,True
tmhintqi,ced,0.2837211714853023,0.0002208647158629,0.0963675117040662,False,False,False,False
tmhintqi,egemaps,0.0,2.2021074630451665e-08,0.06949048836594,True,True,True,True
