dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,0,6,4,10.0,auditory_erb,-1.5970891302014028
brspeech,0,6,4,10.0,beats,-0.1190137761019783
brspeech,0,6,4,10.0,ced,0.1711712488650394
brspeech,0,6,4,10.0,contentvec12,0.2322468059288127
brspeech,0,6,4,10.0,egemaps,0.7239994786745079
brspeech,0,6,4,10.0,rmvpe_cont,0.2001661984499475
brspeech,0,6,4,10.0,rmvpe_quant,-0.0027318434104417
brspeech,0,6,4,10.0,speaker,0.4509598328771964
brspeech,0,6,4,10.0,wavlm,0.2646542657893952
brspeech,0,6,4,10.0,whisper,0.0936439629408794
brspeech,1,6,3,10.0,auditory_erb,-5.852035366460207
brspeech,1,6,3,10.0,beats,0.2996822271392506
brspeech,1,6,3,10.0,ced,0.0793518285234156
brspeech,1,6,3,10.0,contentvec12,0.6213335433764646
brspeech,1,6,3,10.0,egemaps,1.357620232230092
brspeech,1,6,3,10.0,rmvpe_cont,0.917100513611979
brspeech,1,6,3,10.0,rmvpe_quant,0.6868971685717096
brspeech,1,6,3,10.0,speaker,0.6771481542466035
brspeech,1,6,3,10.0,wavlm,0.871126870278009
brspeech,1,6,3,10.0,whisper,0.7818579169751926
brspeech,2,6,5,10.0,auditory_erb,-0.5649555686151387
brspeech,2,6,5,10.0,beats,-0.3897221584993657
brspeech,2,6,5,10.0,ced,0.1775668373386759
brspeech,2,6,5,10.0,contentvec12,0.1696684095441255
brspeech,2,6,5,10.0,egemaps,0.403776058180873
brspeech,2,6,5,10.0,rmvpe_cont,0.1684615237853135
brspeech,2,6,5,10.0,rmvpe_quant,0.0206442486951286
brspeech,2,6,5,10.0,speaker,0.2020843704574253
brspeech,2,6,5,10.0,wavlm,0.1203108244598112
brspeech,2,6,5,10.0,whisper,-0.0161835833907994
brspeech,3,6,2,10.0,auditory_erb,0.2358444936751329
brspeech,3,6,2,10.0,beats,-0.5701445621483895
brspeech,3,6,2,10.0,ced,0.1555889384804895
brspeech,3,6,2,10.0,contentvec12,0.0344568434796984
brspeech,3,6,2,10.0,egemaps,0.548984277940897
brspeech,3,6,2,10.0,rmvpe_cont,0.0970408880492069
brspeech,3,6,2,10.0,rmvpe_quant,-0.2521505259991723
brspeech,3,6,2,10.0,speaker,0.1704564721691215
brspeech,3,6,2,10.0,wavlm,0.2224136305587965
brspeech,3,6,2,10.0,whisper,-0.0364290826617064
brspeech,4,6,6,10.0,auditory_erb,0.0513793800170303
brspeech,4,6,6,10.0,beats,0.0488489746703389
brspeech,4,6,6,10.0,ced,0.1242971455609877
brspeech,4,6,6,10.0,contentvec12,0.088477465354235
brspeech,4,6,6,10.0,egemaps,0.1692911411178256
brspeech,4,6,6,10.0,rmvpe_cont,0.0041731209185727
brspeech,4,6,6,10.0,rmvpe_quant,-0.0033467639447388
brspeech,4,6,6,10.0,speaker,0.1201644830570455
brspeech,4,6,6,10.0,wavlm,0.12949440412201
brspeech,4,6,6,10.0,whisper,-0.0486001953041868
brspeech,5,6,4,10.0,auditory_erb,0.150231038616266
brspeech,5,6,4,10.0,beats,-0.0869693501455964
brspeech,5,6,4,10.0,ced,0.204984044227755
brspeech,5,6,4,10.0,contentvec12,0.1263030025736938
brspeech,5,6,4,10.0,egemaps,0.3066861842318784
brspeech,5,6,4,10.0,rmvpe_cont,0.0631764724617667
brspeech,5,6,4,10.0,rmvpe_quant,-0.5468161102036213
brspeech,5,6,4,10.0,speaker,0.1791939062035554
brspeech,5,6,4,10.0,wavlm,0.1437857611920291
brspeech,5,6,4,10.0,whisper,0.0126160048412558
brspeech,6,6,3,10.0,auditory_erb,0.0721731213402081
brspeech,6,6,3,10.0,beats,0.0416761085187341
brspeech,6,6,3,10.0,ced,0.1361225831899548
brspeech,6,6,3,10.0,contentvec12,0.0132304527426349
