dataset,feature,gate_weight,leave_one_out_mse_utility,exact_shapley_mse_utility,gate_zero_lt_1e_6,gate_zero_positive_shapley,loo_signed_le_1e_6_positive_shapley,loo_absolute_le_1e_6_positive_shapley
brspeech,beats,6.359258670189269e-18,-7.277932700944233e-10,0.0488491716875864,True,True,True,True
brspeech,auditory_erb,0.0,-1.0070307920884147e-09,0.0513788281018004,True,True,True,True
brspeech,speaker,1.7996308828059646e-16,-9.532512101895209e-08,0.1201659923333755,True,True,True,True
brspeech,rmvpe_cont,1.3897018102695086e-17,9.011485446741574e-09,0.0041731302452392,True,True,True,True
brspeech,ced,0.0,3.2773868730018314e-08,0.1242963011463594,True,True,True,True
bvcc,auditory_erb,3.700774296826724e-17,-9.364053510374505e-08,0.0231557485873749,True,True,True,True
bvcc,rmvpe_cont,2.347903861383996e-17,-1.0386481150148621e-07,0.0067889668954615,True,True,True,True
bvcc,rmvpe_quant,0.0,-1.0050276399997673e-07,0.0033863461246304,True,True,True,True
bvcc,egemaps,0.0,-9.873161704865296e-09,0.0499943334078764,True,True,True,True
singmos,auditory_erb,1.0052997299597864e-17,-1.5407608577877596e-08,0.0180568906147349,True,True,True,True
singmos,rmvpe_cont,6.998570022019254e-18,2.8730186729664098e-08,0.0111100055314321,True,True,True,True
singmos,rmvpe_quant,4.211818390662805e-18,5.894772231451739e-08,0.0027011972363721,True,True,True,True
tmhintqi,auditory_erb,0.0,3.506651913287584e-09,0.0221572798267956,True,True,True,True
tmhintqi,rmvpe_cont,3.083088093186836e-17,4.94476531942567e-09,0.0023433231040376,True,True,True,True
tmhintqi,rmvpe_quant,7.518079151371956e-19,2.7420795079002853e-09,0.003210621525143,True,True,True,True
tmhintqi,egemaps,0.0,2.2021074630451665e-08,0.06949048836594,True,True,True,True
