dataset,rule,n_zero,n_zero_pos,full_mse,n_bottom3,n_bottom3_pos,phi_spread,n_pos
brspeech,simplex,6.0,5.0,0.7043381049255221,,,,
brspeech,nnls,4.0,0.0,0.9037444318132877,,,,
brspeech,ridge,,,0.730005076402654,3.0,2.0,,
brspeech,uniform,,,0.7223751730354977,,,0.19205971093725765,8.0
bvcc,simplex,4.0,4.0,0.20988326693769585,,,,
bvcc,nnls,4.0,4.0,0.20917185505778288,,,,
bvcc,ridge,,,0.20987677977352037,3.0,3.0,,
bvcc,uniform,,,0.2828482135337748,,,0.15504750677773965,7.0
singmos,simplex,3.0,3.0,0.336476531730745,,,,
singmos,nnls,2.0,2.0,0.3327102372292337,,,,
singmos,ridge,,,0.3337969022627173,3.0,3.0,,
singmos,uniform,,,0.3557778273956744,,,0.06805610887768293,7.0
tmhintqi,simplex,4.0,4.0,0.3341072862528421,,,,
tmhintqi,nnls,3.0,2.0,0.3341894876405171,,,,
tmhintqi,ridge,,,0.3386838804004504,3.0,2.0,,
tmhintqi,uniform,,,0.41658593982268893,,,0.15818827411219114,7.0
