dataset,rule,feature,phi
brspeech,simplex,whisper,-0.048603838780309806
brspeech,simplex,contentvec12,0.0884787989284061
brspeech,simplex,wavlm,0.12949534204623026
brspeech,simplex,beats,0.048849172342271915
brspeech,simplex,auditory_erb,0.05137882875648597
brspeech,simplex,speaker,0.12016599298806102
brspeech,simplex,rmvpe_cont,0.00417313089992479
brspeech,simplex,rmvpe_quant,-0.0033499136157632507
brspeech,simplex,ced,0.12429630180104495
brspeech,simplex,egemaps,0.16929328816959968
brspeech,uniform,whisper,-0.060096624035494386
brspeech,uniform,contentvec12,0.08580491332937867
brspeech,uniform,wavlm,0.10819625558525912
brspeech,uniform,beats,0.08015391306020839
brspeech,uniform,auditory_erb,0.092887050852908
brspeech,uniform,speaker,0.11452272423813067
brspeech,uniform,rmvpe_cont,0.0026422261856717984
brspeech,uniform,rmvpe_quant,-0.014136175320730734
brspeech,uniform,ced,0.1242026646288811
brspeech,uniform,egemaps,0.13196308690176328
brspeech,nnls,whisper,0.029224803855720113
brspeech,nnls,contentvec12,0.10890202599075482
brspeech,nnls,wavlm,0.12021919243934417
brspeech,nnls,beats,-7.357430361603218e-18
brspeech,nnls,auditory_erb,-7.357430361603218e-18
brspeech,nnls,speaker,0.0776614741147183
brspeech,nnls,rmvpe_cont,-6.872809200060492e-18
brspeech,nnls,rmvpe_quant,-6.872809200060492e-18
brspeech,nnls,ced,0.05592277995736604
brspeech,nnls,egemaps,0.09284050029028397
brspeech,ridge,whisper,0.049063416028316625
brspeech,ridge,contentvec12,0.1167219157641983
brspeech,ridge,wavlm,0.1659061643861997
brspeech,ridge,beats,-0.07467809065610685
brspeech,ridge,auditory_erb,-0.03868997236689453
brspeech,ridge,speaker,0.12123704207425415
brspeech,ridge,rmvpe_cont,-0.03755187300919438
brspeech,ridge,rmvpe_quant,-0.01848386806453591
brspeech,ridge,ced,0.10578848709017952
brspeech,ridge,egemaps,0.2691969108124033
bvcc,simplex,whisper,0.0656409766496103
bvcc,simplex,contentvec12,0.079430018570241
bvcc,simplex,wavlm,0.09389853195440737
bvcc,simplex,beats,0.11369918928675407
bvcc,simplex,auditory_erb,0.023155748586963978
bvcc,simplex,speaker,0.08577724679068854
