dataset,feature,naive_alpha,naive_oof_mse,nested_alpha,nested_outer_mse,naive_test_mse,nested_test_mse
brspeech,whisper,1000.0,1.3528996706008911,1000.0,1.47306677968955,0.8576701566008206,0.8576701566008206
brspeech,contentvec12,1000.0,1.204083800315857,1000.0,1.3177208023467244,0.8037283957333812,0.8037283957333812
brspeech,wavlm,1000.0,1.0836520195007324,1000.0,1.170716984048545,0.7531554254601012,0.7531554254601012
brspeech,beats,1000.0,1.2823086977005005,1000.0,1.2077257782410835,0.7323124507116657,0.7323124507116657
brspeech,auditory_erb,inf,1.8077850341796875,inf,1.8532233378764371,1.388515208461474,1.388515208461474
brspeech,speaker,1000.0,1.5169949531555176,1000.0,1.467258034719265,0.8655221155863276,0.8655221155863276
brspeech,rmvpe_cont,inf,1.8077850341796875,inf,1.8532233378764371,1.388515208461474,1.388515208461474
brspeech,rmvpe_quant,1000000.0,1.8077139854431152,inf,1.8532233378764371,1.3841043602877876,1.388515208461474
brspeech,ced,1000.0,1.494743824005127,1000.0,1.395759108554587,0.7101193257862767,0.7101193257862767
brspeech,egemaps,0.1,1.122533082962036,1000.0,1.0738919125127369,0.734130901103896,0.753015914127049
bvcc,whisper,1000.0,0.2950925529003143,1000.0,0.2950910607699397,0.2855054559810008,0.2855054559810008
bvcc,contentvec12,1000.0,0.3788831532001495,1000.0,0.3788889103364509,0.3408107065774959,0.3408107065774959
bvcc,wavlm,100.0,0.3422577083110809,100.0,0.34227079157803075,0.2869139935217926,0.2869139935217926
bvcc,beats,1000.0,0.3138734698295593,1000.0,0.3138739075173379,0.23899837216577005,0.23899837216577005
bvcc,auditory_erb,100.0,0.7098042368888855,100.0,0.7100168116190695,0.6602618183053982,0.6602618183053982
bvcc,speaker,100.0,0.3775363266468048,100.0,0.37757813105729826,0.34113848138152725,0.34113848138152725
bvcc,rmvpe_cont,100.0,0.7586297988891602,100.0,0.7586359540093717,0.7945542612116528,0.7945542612116528
bvcc,rmvpe_quant,1000.0,0.7789438962936401,1000.0,0.778912331693326,0.8059982133659146,0.8059982133659146
bvcc,ced,100.0,0.3311943411827087,100.0,0.3311975651915967,0.26535510898660514,0.26535510898660514
bvcc,egemaps,100.0,0.5258711576461792,100.0,0.5258988566224316,0.5025537466786155,0.5025537466786155
singmos,whisper,1000.0,0.3872180581092834,1000.0,0.3874310812539107,0.3927650494131521,0.3927650494131521
singmos,contentvec12,1000.0,0.4437033534049988,1000.0,0.44383499671478954,0.4323076991672539,0.4323076991672539
singmos,wavlm,1000.0,0.4274536967277527,1000.0,0.4276013422306737,0.4077522976730834,0.4077522976730834
singmos,beats,1000.0,0.390184611082077,1000.0,0.3907490062271139,0.3491419970551135,0.3491419970551135
singmos,auditory_erb,1000.0,0.5524036288261414,1000.0,0.5521342089397357,0.5260697499474237,0.5260697499474237
singmos,speaker,1000.0,0.5229506492614746,1000.0,0.5219039837970776,0.43349040167160724,0.43349040167160724
singmos,rmvpe_cont,inf,0.6345118880271912,inf,0.6344129257806571,0.5768503762403547,0.5768503762403547
singmos,rmvpe_quant,10000.0,0.6029297709465027,10000.0,0.6019797402562588,0.5334471735798159,0.5334471735798159
singmos,ced,1000.0,0.4053814113140106,1000.0,0.40542226380701846,0.3762122020717895,0.3762122020717895
singmos,egemaps,1.0,0.4653668105602264,1.0,0.46605499721414956,0.4044744446534345,0.4044744446534345
tmhintqi,whisper,10000.0,0.8920590877532959,10000.0,0.891911760069284,0.3366336523825522,0.3366336523825522
tmhintqi,contentvec12,10000.0,1.0142253637313845,10000.0,1.0142187960774407,0.4379960719346455,0.4379960719346455
tmhintqi,wavlm,1000.0,0.9265674352645874,1000.0,0.9265289891439421,0.3720357288967142,0.3720357288967142
tmhintqi,beats,1000.0,0.9184201955795288,1000.0,0.9185756912792253,0.36052067272305166,0.36052067272305166
tmhintqi,auditory_erb,inf,1.409073829650879,inf,1.4098858799335359,0.9943867072294493,0.9943867072294493
tmhintqi,speaker,1.0,1.102511644363403,0.01,1.1027517842160877,0.5001129202272733,0.5001147271650881
tmhintqi,rmvpe_cont,inf,1.409073829650879,inf,1.4098858799335359,0.9943867072294493,0.9943867072294493
tmhintqi,rmvpe_quant,100000.0,1.3927090167999268,100000.0,1.393459651969963,0.9570481657004392,0.9570481657004392
tmhintqi,ced,100.0,0.9507917165756226,100.0,0.950573704432877,0.3974890026764535,0.3974890026764535
tmhintqi,egemaps,10.0,1.1093864440917969,1.0,1.1089673854845512,0.5090853447465609,0.5074403221806516
