dataset,mask,features,n_seen,n_unseen,seen_system_mse,unseen_system_mse
brspeech,226,contentvec12+speaker+rmvpe_cont+rmvpe_quant,6,0,0.7016541801722361,
brspeech,234,contentvec12+beats+speaker+rmvpe_cont+rmvpe_quant,6,0,0.7016540956212962,
brspeech,482,contentvec12+speaker+rmvpe_cont+rmvpe_quant+ced,6,0,0.6638129415212809,
brspeech,752,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+egemaps,6,0,0.6223263533672007,
brspeech,1008,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,6,0,0.6223263533672007,
brspeech,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,6,0,0.594582200679122,
bvcc,226,contentvec12+speaker+rmvpe_cont+rmvpe_quant,175,12,0.299840595657534,0.3362578080227236
bvcc,234,contentvec12+beats+speaker+rmvpe_cont+rmvpe_quant,175,12,0.24078636022460315,0.2902454395631697
bvcc,482,contentvec12+speaker+rmvpe_cont+rmvpe_quant+ced,175,12,0.24232757144277092,0.2667267766218904
bvcc,752,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+egemaps,175,12,0.32718610606837933,0.35936198180434437
bvcc,1008,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,175,12,0.2543287247925415,0.3036359865170641
bvcc,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,175,12,0.22487096642779103,0.24906000511341397
singmos,226,contentvec12+speaker+rmvpe_cont+rmvpe_quant,31,4,0.4406457887994452,0.33951804039302425
singmos,234,contentvec12+beats+speaker+rmvpe_cont+rmvpe_quant,31,4,0.40169916323391625,0.27699995206914024
singmos,482,contentvec12+speaker+rmvpe_cont+rmvpe_quant+ced,31,4,0.3678453306086946,0.32408999398318805
singmos,752,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+egemaps,31,4,0.410768131513361,0.28373585523844114
singmos,1008,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,31,4,0.35928688035149386,0.26763377263251487
singmos,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,31,4,0.35175509964980994,0.2590828062238193
tmhintqi,226,contentvec12+speaker+rmvpe_cont+rmvpe_quant,97,0,0.4370529335505176,
tmhintqi,234,contentvec12+beats+speaker+rmvpe_cont+rmvpe_quant,97,0,0.3910203836597195,
tmhintqi,482,contentvec12+speaker+rmvpe_cont+rmvpe_quant+ced,97,0,0.4038492631587054,
tmhintqi,752,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+egemaps,97,0,0.45875471844758414,
tmhintqi,1008,auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,97,0,0.413270944450724,
tmhintqi,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,97,0,0.3614953654404778,
