dataset,k,test_gate,test_singleton,test_loo,test_shapley_val,test_greedy_val,test_oracle,test_full
brspeech,1,0.737296401972494,0.737296401972494,0.737296401972494,0.737296401972494,0.737296401972494,0.737296401972494,0.7043381049255221
brspeech,2,0.7218460495448094,0.7372371214825452,0.7218460495448094,0.7372371214825452,0.7277547975054303,0.716061941744169,0.7043381049255221
brspeech,3,0.6995080357967584,0.72775479750543,0.6995080357967584,0.72775479750543,0.7277547975054299,0.6995080357967584,0.7043381049255221
brspeech,4,0.7043380600099496,0.72775479750543,0.6995080228762036,0.7212547962149303,0.7277547975054298,0.6995079959127488,0.7043381049255221
brspeech,5,0.7043381077600404,0.7277547975054298,0.6995080325446488,0.721254758588803,0.7277547975054297,0.6995080070935107,0.7043381049255221
brspeech,6,0.7043381034404406,0.721254781751148,0.6995080045999174,0.699508007950215,0.7277547975054298,0.6995080045999174,0.7043381049255221
brspeech,7,0.7043381037678275,0.6995080323633286,0.6995080231660625,0.6995080323633286,0.7277547975054298,0.699508005957057,0.7043381049255221
brspeech,8,0.7043380913523989,0.6995080080246888,0.6995080315153412,0.6995080340836372,0.7614075833927367,0.6995080080246888,0.7043381049255221
brspeech,9,0.7043381376993908,0.6995080317050988,0.6995080317050988,0.6995080317050988,0.7281400005552042,0.6995080317050988,0.7043381049255221
brspeech,10,0.7043381049255221,0.7043381049255221,0.7043381049255221,0.7043381049255221,0.7043381049255221,0.7043381049255221,0.7043381049255221
bvcc,1,0.4407445034405515,0.2791737203969605,0.4407445034405515,0.4407445034405515,0.2791737203969605,0.2791737203969605,0.2098832669376958
bvcc,2,0.2509528567066026,0.2509528567066026,0.2509528567066026,0.2509528567066026,0.2509528567066026,0.226502492015739,0.2098832669376958
bvcc,3,0.2245052113549182,0.2245052113549182,0.2245052113549182,0.2245052113549182,0.2245052113549182,0.2118213564082221,0.2098832669376958
bvcc,4,0.2145018668410535,0.2183114280050086,0.2139184174025924,0.2145018668410535,0.2139184174025924,0.2084611508134444,0.2098832669376958
bvcc,5,0.2121985940049628,0.2121985940049628,0.2112465251635531,0.2121985940049628,0.2139183946880987,0.2074912263731251,0.2098832669376958
bvcc,6,0.209883309817332,0.209883309817332,0.211246601017863,0.209883309817332,0.2139184114588281,0.2074911936801985,0.2098832669376958
bvcc,7,0.2098832830112571,0.209883213079126,0.2112465626472064,0.209883213079126,0.2139183434647023,0.2074912114352959,0.2098832669376958
bvcc,8,0.2098832062695941,0.2098832333600884,0.2112466065864859,0.2098832333600884,0.2139184057698556,0.2074912019730164,0.2098832669376958
bvcc,9,0.2098832570645341,0.2098831664349318,0.2112465434538026,0.2098831664349318,0.2112465434538026,0.2074912113711369,0.2098832669376958
bvcc,10,0.2098832669376958,0.2098832669376958,0.2098832669376958,0.2098832669376958,0.2098832669376958,0.2098832669376958,0.2098832669376958
singmos,1,0.404323443532765,0.404323443532765,0.404323443532765,0.404323443532765,0.404323443532765,0.4030244344942227,0.3364765317307449
singmos,2,0.3689570561391811,0.3777166976665783,0.3777166976665783,0.3777166976665783,0.3777166976665783,0.3451971526908011,0.3364765317307449
singmos,3,0.3401034946891202,0.33782656373724,0.3594556538212731,0.3594556538212731,0.3636750784026092,0.33782656373724,0.3364765317307449
singmos,4,0.3366836303526838,0.3366836303526838,0.3610773676870713,0.3366836303526838,0.3697450925667296,0.3355065903705196,0.3364765317307449
singmos,5,0.3343894823777417,0.3360346649452195,0.3534327165511482,0.3360346649452195,0.358324256445287,0.3343894823777417,0.3364765317307449
singmos,6,0.3366708819924382,0.3360346563605342,0.3522358254444904,0.3394724915516119,0.3531483387249751,0.3339487850799817,0.3364765317307449
singmos,7,0.3364765231876077,0.3394724688135341,0.3522358522162485,0.3394724688135341,0.3531483222887561,0.3339488044274863,0.3364765317307449
singmos,8,0.3364765393820683,0.3394724811049451,0.3522358629925057,0.3394724811049451,0.3522358629925057,0.3339487586035474,0.3364765317307449
singmos,9,0.3364765906784672,0.3394725390111737,0.3481903849163488,0.3364765604609316,0.3481903849163488,0.3339487616774687,0.3364765317307449
singmos,10,0.3364765317307449,0.3364765317307449,0.3364765317307449,0.3364765317307449,0.3364765317307449,0.3364765317307449,0.3364765317307449
tmhintqi,1,0.4023528402510404,0.3881960346235529,0.4040890760434326,0.3881960346235529,0.3881960346235529,0.3881960346235529,0.3341072862528421
tmhintqi,2,0.3651828535938539,0.356359215567511,0.3486687567270655,0.3486687567270655,0.3486687567270655,0.3486687567270655,0.3341072862528421
tmhintqi,3,0.3432739440682887,0.3405070887255484,0.3405070887255484,0.3405070887255484,0.3478658285643931,0.3357178294007342,0.3341072862528421
tmhintqi,4,0.3343980773854837,0.3343980773854837,0.3399920306955293,0.3343980773854837,0.3459784535030452,0.3343980773854837,0.3341072862528421
tmhintqi,5,0.3341060610397084,0.3341060610397084,0.3399181117809234,0.3341060610397084,0.3459784488629892,0.3341060610397084,0.3341072862528421
tmhintqi,6,0.3341073157620057,0.3341073157620057,0.3399181139309809,0.334106118534703,0.345978449073798,0.3341060301386554,0.3341072862528421
tmhintqi,7,0.3341073000832556,0.3341073428971458,0.3399181167079692,0.3341073428971458,0.3459784503761003,0.3341060526192998,0.3341072862528421
tmhintqi,8,0.3341073088815604,0.3341073248926285,0.3399181174886153,0.3341073248926285,0.3438048300725042,0.3341060649463865,0.3341072862528421
tmhintqi,9,0.3341073082739167,0.3341072889949216,0.3399181119456158,0.3341072889949216,0.3399181119456158,0.334106101027069,0.3341072862528421
tmhintqi,10,0.3341072862528421,0.3341072862528421,0.3341072862528421,0.3341072862528421,0.3341072862528421,0.3341072862528421,0.3341072862528421
