dataset,scenario,feature,owen_mse_utility,original_shapley_mse_utility,sign_same
brspeech,original_10,whisper,-0.048603839434995334,-0.0486038394349953,True
brspeech,original_10,contentvec12,0.08847879827372059,0.0884787982737205,True
brspeech,original_10,wavlm,0.12949534139154478,0.1294953413915447,True
brspeech,original_10,beats,0.04884917168758638,0.0488491716875864,True
brspeech,original_10,auditory_erb,0.0513788281018004,0.0513788281018004,True
brspeech,original_10,speaker,0.12016599233337555,0.1201659923333755,True
brspeech,original_10,rmvpe_cont,0.004173130245239256,0.0041731302452392,True
brspeech,original_10,rmvpe_quant,-0.0033499142704487557,-0.0033499142704487,True
brspeech,original_10,ced,0.12429630114635941,0.1242963011463594,True
brspeech,original_10,egemaps,0.16929328751491424,0.1692932875149141,True
brspeech,rmvpe_grouped_9,whisper,-0.05634022669795261,-0.0486038394349953,True
brspeech,rmvpe_grouped_9,contentvec12,0.08682498662818708,0.0884787982737205,True
brspeech,rmvpe_grouped_9,wavlm,0.1293172801647049,0.1294953413915447,True
brspeech,rmvpe_grouped_9,beats,0.04808072829533156,0.0488491716875864,True
brspeech,rmvpe_grouped_9,auditory_erb,0.0560752365299815,0.0513788281018004,True
brspeech,rmvpe_grouped_9,speaker,0.12084290806924167,0.1201659923333755,True
brspeech,rmvpe_grouped_9,ced,0.12455593725013536,0.1242963011463594,True
brspeech,rmvpe_grouped_9,egemaps,0.16997020604124277,0.1692932875149141,True
brspeech,rmvpe_grouped_9,rmvpe_cont,0.006186542611956186,0.0041731302452392,True
brspeech,rmvpe_grouped_9,rmvpe_quant,-0.0013365019037318187,-0.0033499142704487,True
brspeech,prosody_grouped_8,whisper,-0.07598642239845035,-0.0486038394349953,True
brspeech,prosody_grouped_8,contentvec12,0.0826530004807975,0.0884787982737205,True
brspeech,prosody_grouped_8,wavlm,0.12951035961298407,0.1294953413915447,True
brspeech,prosody_grouped_8,beats,0.055791014840073185,0.0488491716875864,True
brspeech,prosody_grouped_8,auditory_erb,0.06373049881770203,0.0513788281018004,True
brspeech,prosody_grouped_8,speaker,0.12360087258997893,0.1201659923333755,True
brspeech,prosody_grouped_8,ced,0.12835592827349815,0.1242963011463594,True
brspeech,prosody_grouped_8,rmvpe_cont,0.00591161300938092,0.0041731302452392,True
brspeech,prosody_grouped_8,rmvpe_quant,-0.0004215405775222202,-0.0033499142704487,True
brspeech,prosody_grouped_8,egemaps,0.17103177234065436,0.1692932875149141,True
brspeech,remove_rmvpe_quant_9,whisper,-0.05634023912463116,-0.0486038394349953,True
brspeech,remove_rmvpe_quant_9,contentvec12,0.08682497555489864,0.0884787982737205,True
brspeech,remove_rmvpe_quant_9,wavlm,0.1293172725331074,0.1294953413915447,True
brspeech,remove_rmvpe_quant_9,beats,0.04808071618668121,0.0488491716875864,True
brspeech,remove_rmvpe_quant_9,auditory_erb,0.05607523229014167,0.0513788281018004,True
brspeech,remove_rmvpe_quant_9,speaker,0.1208429117618089,0.1201659923333755,True
brspeech,remove_rmvpe_quant_9,rmvpe_cont,0.004850035231718001,0.0041731302452392,True
brspeech,remove_rmvpe_quant_9,ced,0.12455592667410298,0.1242963011463594,True
brspeech,remove_rmvpe_quant_9,egemaps,0.1699701962128483,0.1692932875149141,True
brspeech,remove_egemaps_9,whisper,-0.053178827288279044,-0.0486038394349953,True
brspeech,remove_egemaps_9,contentvec12,0.10842762226240078,0.0884787982737205,True
brspeech,remove_egemaps_9,wavlm,0.17075471127086858,0.1294953413915447,True
brspeech,remove_egemaps_9,beats,0.05661382151356444,0.0488491716875864,True
brspeech,remove_egemaps_9,auditory_erb,0.05772035528017897,0.0513788281018004,True
brspeech,remove_egemaps_9,speaker,0.158130096558918,0.1201659923333755,True
brspeech,remove_egemaps_9,rmvpe_cont,0.009993306780445563,0.0041731302452392,True
brspeech,remove_egemaps_9,rmvpe_quant,-0.0026730055725145696,-0.0033499142704487,True
brspeech,remove_egemaps_9,ced,0.16318818204136154,0.1242963011463594,True
brspeech,remove_quant_and_egemaps_8,whisper,-0.06319864373549128,-0.0486038394349953,True
brspeech,remove_quant_and_egemaps_8,contentvec12,0.10668139626504157,0.0884787982737205,True
brspeech,remove_quant_and_egemaps_8,wavlm,0.1710194485959151,0.1294953413915447,True
brspeech,remove_quant_and_egemaps_8,beats,0.055791017913844526,0.0488491716875864,True
brspeech,remove_quant_and_egemaps_8,auditory_erb,0.06373049786116153,0.0513788281018004,True
brspeech,remove_quant_and_egemaps_8,speaker,0.15953848187272113,0.1201659923333755,True
brspeech,remove_quant_and_egemaps_8,rmvpe_cont,0.011401688009168966,0.0041731302452392,True
brspeech,remove_quant_and_egemaps_8,ced,0.16401237037010397,0.1242963011463594,True
bvcc,original_10,whisper,0.06564097665002123,0.0656409766500212,True
bvcc,original_10,contentvec12,0.07943001857065202,0.0794300185706519,True
bvcc,original_10,wavlm,0.09389853195481832,0.0938985319548183,True
bvcc,original_10,beats,0.11369918928716502,0.113699189287165,True
bvcc,original_10,auditory_erb,0.023155748587374965,0.0231557485873749,True
bvcc,original_10,speaker,0.08577724679109956,0.0857772467910995,True
bvcc,original_10,rmvpe_cont,0.006788966895461574,0.0067889668954615,True
bvcc,original_10,rmvpe_quant,0.0033863461246304754,0.0033863461246304,True
bvcc,original_10,ced,0.11576342261762093,0.1157634226176209,True
bvcc,original_10,egemaps,0.049994333407876415,0.0499943334078764,True
bvcc,rmvpe_grouped_9,whisper,0.06536098071155057,0.0656409766500212,True
bvcc,rmvpe_grouped_9,contentvec12,0.07936999904889981,0.0794300185706519,True
bvcc,rmvpe_grouped_9,wavlm,0.09407141647027438,0.0938985319548183,True
bvcc,rmvpe_grouped_9,beats,0.11374707535305605,0.113699189287165,True
bvcc,rmvpe_grouped_9,auditory_erb,0.023484408310084186,0.0231557485873749,True
bvcc,rmvpe_grouped_9,speaker,0.08589298471388979,0.0857772467910995,True
bvcc,rmvpe_grouped_9,ced,0.11595986920599918,0.1157634226176209,True
bvcc,rmvpe_grouped_9,egemaps,0.05014219841010334,0.0499943334078764,True
bvcc,rmvpe_grouped_9,rmvpe_cont,0.006454234716847326,0.0067889668954615,True
bvcc,rmvpe_grouped_9,rmvpe_quant,0.003051613946016224,0.0033863461246304,True
bvcc,prosody_grouped_8,whisper,0.06573494228900291,0.0656409766500212,True
bvcc,prosody_grouped_8,contentvec12,0.08018280641680635,0.0794300185706519,True
bvcc,prosody_grouped_8,wavlm,0.09526464903179235,0.0938985319548183,True
bvcc,prosody_grouped_8,beats,0.11478217530740609,0.113699189287165,True
bvcc,prosody_grouped_8,auditory_erb,0.024824448471108432,0.0231557485873749,True
bvcc,prosody_grouped_8,speaker,0.08702650376252673,0.0857772467910995,True
bvcc,prosody_grouped_8,ced,0.11719232697056323,0.1157634226176209,True
bvcc,prosody_grouped_8,rmvpe_cont,0.003851066135850435,0.0067889668954615,True
bvcc,prosody_grouped_8,rmvpe_quant,0.0021824489171019586,0.0033863461246304,True
bvcc,prosody_grouped_8,egemaps,0.04649341358456208,0.0499943334078764,True
bvcc,remove_rmvpe_quant_9,whisper,0.06569257990590047,0.0656409766500212,True
bvcc,remove_rmvpe_quant_9,contentvec12,0.07968707529601195,0.0794300185706519,True
bvcc,remove_rmvpe_quant_9,wavlm,0.09438932578892219,0.0938985319548183,True
bvcc,remove_rmvpe_quant_9,beats,0.11405597333127708,0.113699189287165,True
bvcc,remove_rmvpe_quant_9,auditory_erb,0.023814578594697055,0.0231557485873749,True
bvcc,remove_rmvpe_quant_9,speaker,0.08620832657457575,0.0857772467910995,True
bvcc,remove_rmvpe_quant_9,rmvpe_cont,0.0070210565383652555,0.0067889668954615,True
bvcc,remove_rmvpe_quant_9,ced,0.11627336007666138,0.1157634226176209,True
bvcc,remove_rmvpe_quant_9,egemaps,0.05039260528307369,0.0499943334078764,True
bvcc,remove_egemaps_9,whisper,0.07111986168546756,0.0656409766500212,True
bvcc,remove_egemaps_9,contentvec12,0.08613022438443818,0.0794300185706519,True
bvcc,remove_egemaps_9,wavlm,0.10170110238318406,0.0938985319548183,True
bvcc,remove_egemaps_9,beats,0.12211657841620142,0.113699189287165,True
bvcc,remove_egemaps_9,auditory_erb,0.02632982252957838,0.0231557485873749,True
bvcc,remove_egemaps_9,speaker,0.09392853599633767,0.0857772467910995,True
bvcc,remove_egemaps_9,rmvpe_cont,0.007736964410542443,0.0067889668954615,True
bvcc,remove_egemaps_9,rmvpe_quant,0.0037846179998276782,0.0033863461246304,True
bvcc,remove_egemaps_9,ced,0.12468708295430495,0.1157634226176209,True
bvcc,remove_quant_and_egemaps_8,whisper,0.07117306279164591,0.0656409766500212,True
bvcc,remove_quant_and_egemaps_8,contentvec12,0.08645048750591619,0.0794300185706519,True
bvcc,remove_quant_and_egemaps_8,wavlm,0.10232377534342446,0.0938985319548183,True
bvcc,remove_quant_and_egemaps_8,beats,0.1225657683135975,0.113699189287165,True
bvcc,remove_quant_and_egemaps_8,auditory_erb,0.02717260966497377,0.0231557485873749,True
bvcc,remove_quant_and_egemaps_8,speaker,0.0944720592345816,0.0857772467910995,True
bvcc,remove_quant_and_egemaps_8,rmvpe_cont,0.008046106269848344,0.0067889668954615,True
bvcc,remove_quant_and_egemaps_8,ced,0.1253309724308346,0.1157634226176209,True
singmos,original_10,whisper,-0.01131540369867168,-0.0113154036986716,True
singmos,original_10,contentvec12,-0.0004963243074456662,-0.0004963243074456,True
singmos,original_10,wavlm,0.03209202599836027,0.0320920259983602,True
singmos,original_10,beats,0.03749347645412318,0.0374934764541231,True
singmos,original_10,auditory_erb,0.01805689061473491,0.0180568906147349,True
singmos,original_10,speaker,0.032383661308373855,0.0323836613083738,True
singmos,original_10,rmvpe_cont,0.0111100055314321,0.0111100055314321,True
singmos,original_10,rmvpe_quant,0.002701197236372158,0.0027011972363721,True
singmos,original_10,ced,0.06047271402876266,0.0604727140287626,True
singmos,original_10,egemaps,0.05787560629144527,0.0578756062914452,True
singmos,rmvpe_grouped_9,whisper,-0.014977165157702995,-0.0113154036986716,True
singmos,rmvpe_grouped_9,contentvec12,-0.0023216454384008423,-0.0004963243074456,True
singmos,rmvpe_grouped_9,wavlm,0.03186283139604211,0.0320920259983602,True
singmos,rmvpe_grouped_9,beats,0.03712919699895352,0.0374934764541231,True
singmos,rmvpe_grouped_9,auditory_erb,0.018902890257865044,0.0180568906147349,True
singmos,rmvpe_grouped_9,speaker,0.03299286667302195,0.0323836613083738,True
singmos,rmvpe_grouped_9,ced,0.0608889636934474,0.0604727140287626,True
