dataset,outer_fold,method,k,mask,features,inner_equal_system_mse,inner_utterance_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
brspeech,0,gate,1,512,egemaps,1.2464749055749451,1.5293188722962534,1.0431087515035795,1,628,"{""egemaps"": 1.0}"
brspeech,0,gate,2,516,wavlm+egemaps,0.9318468823902402,1.0837002182278577,1.1337438001850224,1,628,"{""wavlm"": 0.42456799794308864, ""egemaps"": 0.5754320020569114}"
brspeech,0,gate,3,772,wavlm+ced+egemaps,0.9253320501192828,1.0925192122901837,1.126471735399343,1,628,"{""wavlm"": 0.42892482090180256, ""ced"": 0.07270664612098778, ""egemaps"": 0.4983685329772097}"
brspeech,0,gate,4,774,contentvec12+wavlm+ced+egemaps,0.922075366508738,1.0894061266903825,1.0989735335173163,1,628,"{""contentvec12"": 0.04755394057714982, ""wavlm"": 0.39927017466280196, ""ced"": 0.06575407476472779, ""egemaps"": 0.4874218099953205}"
brspeech,0,gate,5,782,contentvec12+wavlm+beats+ced+egemaps,0.9220753665122764,1.0894058648995752,1.098973972029357,1,628,"{""contentvec12"": 0.04755428805272707, ""wavlm"": 0.3992713925497995, ""beats"": 0.0, ""ced"": 0.06575375338613922, ""egemaps"": 0.48742056601133427}"
brspeech,0,gate,6,783,whisper+contentvec12+wavlm+beats+ced+egemaps,0.9220753665175376,1.0894057466551406,1.098973763924138,1,628,"{""whisper"": 5.690480730153679e-18, ""contentvec12"": 0.047555091243836944, ""wavlm"": 0.3992713429464707, ""beats"": 4.37950597469302e-18, ""ced"": 0.06575333419602951, ""egemaps"": 0.4874202316136628}"
brspeech,0,gate,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.9220753665100736,1.0894059105755824,1.0989741591187263,1,628,"{""whisper"": 3.680425564153756e-18, ""contentvec12"": 0.04755348766085867, ""wavlm"": 0.3992712793708077, ""beats"": 1.4216935511047196e-17, ""speaker"": 0.0, ""ced"": 0.06575372596598049, ""egemaps"": 0.4874215070023532}"
brspeech,0,gate,8,879,whisper+contentvec12+wavlm+beats+speaker+rmvpe_cont+ced+egemaps,0.9220753665211044,1.089405529102855,1.0989735051778329,1,628,"{""whisper"": 8.18395361154751e-18, ""contentvec12"": 0.047554674775760156, ""wavlm"": 0.39926989971713694, ""beats"": 1.2273339523652705e-17, ""speaker"": 0.0, ""rmvpe_cont"": 0.0, ""ced"": 0.06575126268357791, ""egemaps"": 0.4874241628235249}"
brspeech,0,gate,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,0.9220753665465616,1.0894064649938977,1.0989709256586488,1,628,"{""whisper"": 0.0, ""contentvec12"": 0.04755606720547433, ""wavlm"": 0.3992649789476028, ""beats"": 0.0, ""auditory_erb"": 1.657136003064578e-17, ""speaker"": 0.0, ""rmvpe_cont"": 0.0, ""ced"": 0.06575256455967436, ""egemaps"": 0.4874263892872486}"
brspeech,0,gate,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.9220753665527852,1.089406417117119,1.0989707771812365,1,628,"{""whisper"": 1.1245638454034745e-17, ""contentvec12"": 0.04755622345031328, ""wavlm"": 0.39926461869994806, ""beats"": 1.78953375647903e-17, ""auditory_erb"": 0.0, ""speaker"": 8.603680703950086e-18, ""rmvpe_cont"": 2.1054935298615782e-18, ""rmvpe_quant"": 0.0, ""ced"": 0.06575213030673047, ""egemaps"": 0.48742702754300826}"
