dataset,method,k,system_id,system_mse,mos,prediction,n_items
brspeech,gate,1,ground_truth,1.32352143926453,4.288614523907502,3.5507501047079866,384
brspeech,gate,1,taco2griffinlim,2.34966293566195,2.20345051959157,3.3678359930947392,256
brspeech,gate,1,taco2hifigan,1.6555964896020952,2.6721418738857774,3.3057317138148083,484
brspeech,gate,1,taco2waveglow,0.8188754961653398,3.8919715445216108,4.120185897717543,164
brspeech,gate,1,taco_gst2waveglow,0.7137714868878882,4.152658334145179,4.839184490267265,26
brspeech,gate,1,vits,1.0431087515035797,3.3860175949373064,3.626024668430942,628
brspeech,gate,2,ground_truth,1.1639316536264894,4.288614523907502,3.6394926567993777,384
brspeech,gate,2,taco2griffinlim,1.481638257439752,2.20345051959157,3.0595846946449807,256
brspeech,gate,2,taco2hifigan,2.1537704995720266,2.6721418738857774,3.4312658318475555,484
brspeech,gate,2,taco2waveglow,0.7167050845439905,3.8919715445216108,3.9959536170152354,164
brspeech,gate,2,taco_gst2waveglow,0.3405720243247844,4.152658334145179,4.455879097528137,26
brspeech,gate,2,vits,1.1337438001850224,3.3860175949373064,3.7739273835936857,628
brspeech,gate,3,ground_truth,1.1637195233471285,4.288614523907502,3.634279022283033,384
brspeech,gate,3,taco2griffinlim,1.6120476503446215,2.20345051959157,3.1342374205735544,256
brspeech,gate,3,taco2hifigan,2.0154222118144993,2.6721418738857774,3.3886847482418263,484
brspeech,gate,3,taco2waveglow,0.6776264609121458,3.8919715445216108,3.932711939090891,164
brspeech,gate,3,taco_gst2waveglow,0.3047484274181266,4.152658334145179,4.381639477370315,26
brspeech,gate,3,vits,1.126471735399343,3.3860175949373064,3.7754371150438204,628
brspeech,gate,4,ground_truth,1.1593163285605719,4.288614523907502,3.6360564819748014,384
brspeech,gate,4,taco2griffinlim,2.79220925115043,2.20345051959157,3.566343130940716,256
brspeech,gate,4,taco2hifigan,2.1715018873024463,2.6721418738857774,3.4466550456430256,484
brspeech,gate,4,taco2waveglow,0.6764181525146294,3.8919715445216108,3.9243970636832417,164
brspeech,gate,4,taco_gst2waveglow,0.25827433195597915,4.152658334145179,4.32225646420101,26
brspeech,gate,4,vits,1.0989735335173165,3.3860175949373064,3.748760174428263,628
brspeech,gate,5,ground_truth,1.159315819028721,4.288614523907502,3.636056915280252,384
brspeech,gate,5,taco2griffinlim,2.52509298472206,2.20345051959157,3.4980925249787598,256
brspeech,gate,5,taco2hifigan,2.0798351466702307,2.6721418738857774,3.4239046211926696,484
brspeech,gate,5,taco2waveglow,0.6615430923365159,3.8919715445216108,3.9176355794079907,164
brspeech,gate,5,taco_gst2waveglow,0.24140092285743914,4.152658334145179,4.2995046161649455,26
brspeech,gate,5,vits,1.0989739720293572,3.3860175949373064,3.7487604792787708,628
brspeech,gate,6,ground_truth,1.1593171644724585,4.288614523907502,3.636055743837833,384
brspeech,gate,6,taco2griffinlim,2.5043539010121987,2.20345051959157,3.4971583025636996,256
brspeech,gate,6,taco2hifigan,2.0798449769823293,2.6721418738857774,3.4239065114771305,484
brspeech,gate,6,taco2waveglow,0.6615438066039376,3.8919715445216108,3.9176302238107463,164
brspeech,gate,6,taco_gst2waveglow,0.2414084615979538,4.152658334145179,4.299485322481528,26
brspeech,gate,6,vits,1.0989737639241381,3.3860175949373064,3.7487601859391906,628
brspeech,gate,7,ground_truth,1.1593170955408378,4.288614523907502,3.63605584398773,384
brspeech,gate,7,taco2griffinlim,2.5054374894369174,2.20345051959157,3.4974975889647597,256
brspeech,gate,7,taco2hifigan,2.079853499865442,2.6721418738857774,3.423909198594502,484
brspeech,gate,7,taco2waveglow,0.6615431357017414,3.8919715445216108,3.917635430780481,164
brspeech,gate,7,taco_gst2waveglow,0.24140141001740784,4.152658334145179,4.299504195843135,26
brspeech,gate,7,vits,1.0989741591187263,3.3860175949373064,3.748760714998377,628
brspeech,gate,8,ground_truth,1.159317446863526,4.288614523907502,3.6360562384426096,384
brspeech,gate,8,taco2griffinlim,2.5035406421646957,2.20345051959157,3.496896014706897,256
brspeech,gate,8,taco2hifigan,2.0798104620268387,2.6721418738857774,3.4238991386062647,484
brspeech,gate,8,taco2waveglow,0.6615430853943206,3.8919715445216108,3.9176355709352446,164
brspeech,gate,8,taco_gst2waveglow,0.24140091524302482,4.152658334145179,4.299504595713703,26
brspeech,gate,8,vits,1.0989735051778324,3.3860175949373064,3.748759826568998,628
brspeech,gate,9,ground_truth,1.1593184180175438,4.288614523907502,3.636055254287595,384
brspeech,gate,9,taco2griffinlim,2.504349198612172,2.20345051959157,3.4971567032624864,256
brspeech,gate,9,taco2hifigan,2.0798306083549,2.6721418738857774,3.423903863017729,484
brspeech,gate,9,taco2waveglow,0.6615434872429738,3.8919715445216108,3.917635449240893,164
brspeech,gate,9,taco_gst2waveglow,0.24140027717655418,4.152658334145179,4.299500793831644,26
brspeech,gate,9,vits,1.0989709256586488,3.3860175949373064,3.748757633560516,628
brspeech,gate,10,ground_truth,1.1593125329110783,4.288614523907502,3.636058791303314,384
brspeech,gate,10,taco2griffinlim,2.50353008132968,2.20345051959157,3.49690304845186,256
brspeech,gate,10,taco2hifigan,2.079833774317721,2.6721418738857774,3.4239049144354663,484
brspeech,gate,10,taco2waveglow,0.6615427523438636,3.8919715445216108,3.9176354569692418,164
brspeech,gate,10,taco_gst2waveglow,0.2414009117539432,4.152658334145179,4.299504282479275,26
brspeech,gate,10,vits,1.0989707771812363,3.3860175949373064,3.7487574544014155,628
brspeech,inner_search,1,ground_truth,1.32352143926453,4.288614523907502,3.5507501047079866,384
brspeech,inner_search,1,taco2griffinlim,2.34966293566195,2.20345051959157,3.3678359930947392,256
brspeech,inner_search,1,taco2hifigan,3.0101872591829744,2.6721418738857774,3.5466107230497865,484
brspeech,inner_search,1,taco2waveglow,0.8188754961653398,3.8919715445216108,4.120185897717543,164
brspeech,inner_search,1,taco_gst2waveglow,0.7137714868878882,4.152658334145179,4.839184490267265,26
brspeech,inner_search,1,vits,1.0431087515035797,3.3860175949373064,3.626024668430942,628
brspeech,inner_search,2,ground_truth,1.1639316536264894,4.288614523907502,3.6394926567993777,384
brspeech,inner_search,2,taco2griffinlim,1.481638257439752,2.20345051959157,3.0595846946449807,256
brspeech,inner_search,2,taco2hifigan,2.1537704995720266,2.6721418738857774,3.4312658318475555,484
brspeech,inner_search,2,taco2waveglow,0.7167050845439905,3.8919715445216108,3.9959536170152354,164
brspeech,inner_search,2,taco_gst2waveglow,0.3405720243247844,4.152658334145179,4.455879097528137,26
brspeech,inner_search,2,vits,1.1337438001850224,3.3860175949373064,3.7739273835936857,628
brspeech,inner_search,3,ground_truth,1.1637195233471285,4.288614523907502,3.634279022283033,384
brspeech,inner_search,3,taco2griffinlim,2.8319214460098143,2.20345051959157,3.5601480518529933,256
