dataset,k,method,reference,delta_equal_system_mse,ci95_low,ci95_high,probability_delta_lt_0,n_systems,n_bootstrap
brspeech,1,gate,inner_search,-0.22576512826347986,-0.6772953847904396,0.0,0.6696,6,10000
brspeech,1,shapley,inner_search,-0.22576512826347986,-0.6772953847904396,0.0,0.6696,6,10000
brspeech,1,singleton,inner_search,0.0,0.0,0.0,0.0,6,10000
brspeech,2,gate,inner_search,0.0,0.0,0.0,0.0,6,10000
brspeech,2,shapley,inner_search,0.0,0.0,0.0,0.0,6,10000
brspeech,2,singleton,inner_search,0.022733207276449546,0.0,0.0467354343249742,0.0,6,10000
brspeech,3,gate,inner_search,-0.20331229927753214,-0.6099368978325964,0.0,0.6613,6,10000
brspeech,3,shapley,inner_search,-0.17902116060627674,-0.6086541769418627,0.06475943068346979,0.6935,6,10000
brspeech,3,singleton,inner_search,-0.16430927807012016,-0.5645185293333931,0.06475943068346979,0.6935,6,10000
brspeech,5,gate,inner_search,-3.1161496220436885e-07,-1.078647423602419e-06,1.4380253698931256e-07,0.6655,6,10000
brspeech,5,shapley,inner_search,-0.13581674961735268,-0.3908430460316689,0.010685989680837893,0.9115,6,10000
brspeech,5,singleton,inner_search,-0.127472804319017,-0.38535375722513593,0.026572262800142243,0.8379,6,10000
bvcc,1,gate,inner_search,0.0,0.0,0.0,0.0,175,10000
bvcc,1,shapley,inner_search,0.0,0.0,0.0,0.0,175,10000
bvcc,1,singleton,inner_search,0.0,0.0,0.0,0.0,175,10000
bvcc,2,gate,inner_search,0.004320998531154839,-0.0001466183496144701,0.009026134836027792,0.0287,175,10000
bvcc,2,shapley,inner_search,0.014101338628026146,0.003696250712869676,0.024986821367887962,0.0034,175,10000
bvcc,2,singleton,inner_search,0.008654869800741628,-0.0012056391315078277,0.019262768660077006,0.0416,175,10000
bvcc,3,gate,inner_search,0.0009617809939767679,-0.0026583853679113915,0.004658131408089385,0.3047,175,10000
bvcc,3,shapley,inner_search,0.004750982309312546,-0.00029179022275697774,0.009771292511822792,0.0317,175,10000
bvcc,3,singleton,inner_search,0.011288371533650116,0.003505929209319991,0.019134020080442602,0.0023,175,10000
bvcc,5,gate,inner_search,0.0,0.0,0.0,0.0,175,10000
bvcc,5,shapley,inner_search,-0.00026984111770895347,-0.0016124987832811146,0.001162172463186394,0.6514,175,10000
bvcc,5,singleton,inner_search,-0.00026984111770895347,-0.0016124987832811146,0.001162172463186394,0.6514,175,10000
singmos,1,gate,inner_search,0.009363670815412022,-0.01216168487542251,0.03359277523324746,0.2088,31,10000
singmos,1,shapley,inner_search,0.00034360429088687645,-0.013690735580732367,0.017573610371677477,0.5118,31,10000
singmos,1,singleton,inner_search,0.0,0.0,0.0,0.0,31,10000
singmos,2,gate,inner_search,0.013730036687881728,0.003245352938816841,0.02582481724853353,0.0034,31,10000
singmos,2,shapley,inner_search,0.0,0.0,0.0,0.0,31,10000
singmos,2,singleton,inner_search,0.006350650641889693,-0.0059980387686527185,0.019750250234277192,0.1611,31,10000
singmos,3,gate,inner_search,-0.004603495479803316,-0.011257855342420606,0.0014230825309568555,0.9312,31,10000
singmos,3,shapley,inner_search,-0.004603495479803316,-0.011257855342420606,0.0014230825309568555,0.9312,31,10000
singmos,3,singleton,inner_search,-0.007395642136979433,-0.013848157684340123,-0.0014811788577431101,0.9946,31,10000
singmos,5,gate,inner_search,0.0005912717967224951,-0.0013901960892481653,0.003240709440486232,0.3335,31,10000
singmos,5,shapley,inner_search,0.007377049764144015,0.003189970668653374,0.011797459212949758,0.0001,31,10000
singmos,5,singleton,inner_search,0.008068482484156071,0.0034953665925769673,0.013266078734962744,0.0,31,10000
tmhintqi,1,gate,inner_search,0.01593675110564167,0.002894919198048847,0.029363626098244503,0.0085,98,10000
tmhintqi,1,shapley,inner_search,0.0,0.0,0.0,0.0,98,10000
tmhintqi,1,singleton,inner_search,0.0,0.0,0.0,0.0,98,10000
tmhintqi,2,gate,inner_search,0.00045338264830527443,-0.006672868539999,0.007474705370874005,0.4512,98,10000
tmhintqi,2,shapley,inner_search,-0.007848060940700317,-0.027847222430473113,0.006231169341509738,0.8082,98,10000
tmhintqi,2,singleton,inner_search,-0.008830068603440556,-0.027776687376191083,0.004278164039174746,0.8596,98,10000
tmhintqi,3,gate,inner_search,0.0031453967388177925,0.0004040348562174293,0.007540082506285945,0.0041,98,10000
tmhintqi,3,shapley,inner_search,0.0025327470287326743,-0.00452524950294051,0.008853848381096763,0.2252,98,10000
tmhintqi,3,singleton,inner_search,0.005469898959993784,-0.0020883973601817252,0.012509200343257107,0.0739,98,10000
tmhintqi,5,gate,inner_search,-0.0023459832898650836,-0.006572988412016429,0.00011299622241259446,0.959,98,10000
tmhintqi,5,shapley,inner_search,-0.0018271937076836824,-0.006270484016587609,0.0010348691380984163,0.8256,98,10000
tmhintqi,5,singleton,inner_search,-0.0006816135778409193,-0.005895740720757976,0.0033768102557833564,0.5829,98,10000
