dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
brspeech,gate,1,whisper,0,5,0.0
brspeech,gate,1,contentvec12,0,5,0.0
brspeech,gate,1,wavlm,1,5,0.2
brspeech,gate,1,beats,0,5,0.0
brspeech,gate,1,auditory_erb,0,5,0.0
brspeech,gate,1,speaker,0,5,0.0
brspeech,gate,1,rmvpe_cont,0,5,0.0
brspeech,gate,1,rmvpe_quant,0,5,0.0
brspeech,gate,1,ced,0,5,0.0
brspeech,gate,1,egemaps,4,5,0.8
brspeech,gate,2,whisper,0,5,0.0
brspeech,gate,2,contentvec12,0,5,0.0
brspeech,gate,2,wavlm,4,5,0.8
brspeech,gate,2,beats,0,5,0.0
brspeech,gate,2,auditory_erb,0,5,0.0
brspeech,gate,2,speaker,1,5,0.2
brspeech,gate,2,rmvpe_cont,0,5,0.0
brspeech,gate,2,rmvpe_quant,0,5,0.0
brspeech,gate,2,ced,0,5,0.0
brspeech,gate,2,egemaps,5,5,1.0
brspeech,gate,3,whisper,2,5,0.4
brspeech,gate,3,contentvec12,2,5,0.4
brspeech,gate,3,wavlm,4,5,0.8
brspeech,gate,3,beats,0,5,0.0
brspeech,gate,3,auditory_erb,0,5,0.0
brspeech,gate,3,speaker,1,5,0.2
brspeech,gate,3,rmvpe_cont,0,5,0.0
brspeech,gate,3,rmvpe_quant,0,5,0.0
brspeech,gate,3,ced,1,5,0.2
brspeech,gate,3,egemaps,5,5,1.0
brspeech,gate,5,whisper,3,5,0.6
brspeech,gate,5,contentvec12,5,5,1.0
brspeech,gate,5,wavlm,4,5,0.8
brspeech,gate,5,beats,3,5,0.6
brspeech,gate,5,auditory_erb,0,5,0.0
brspeech,gate,5,speaker,1,5,0.2
brspeech,gate,5,rmvpe_cont,0,5,0.0
brspeech,gate,5,rmvpe_quant,1,5,0.2
brspeech,gate,5,ced,3,5,0.6
brspeech,gate,5,egemaps,5,5,1.0
brspeech,inner_search,1,whisper,0,5,0.0
brspeech,inner_search,1,contentvec12,0,5,0.0
brspeech,inner_search,1,wavlm,1,5,0.2
brspeech,inner_search,1,beats,0,5,0.0
brspeech,inner_search,1,auditory_erb,0,5,0.0
brspeech,inner_search,1,speaker,1,5,0.2
brspeech,inner_search,1,rmvpe_cont,0,5,0.0
brspeech,inner_search,1,rmvpe_quant,0,5,0.0
brspeech,inner_search,1,ced,0,5,0.0
brspeech,inner_search,1,egemaps,3,5,0.6
brspeech,inner_search,2,whisper,0,5,0.0
brspeech,inner_search,2,contentvec12,0,5,0.0
brspeech,inner_search,2,wavlm,4,5,0.8
brspeech,inner_search,2,beats,0,5,0.0
brspeech,inner_search,2,auditory_erb,0,5,0.0
brspeech,inner_search,2,speaker,1,5,0.2
brspeech,inner_search,2,rmvpe_cont,0,5,0.0
brspeech,inner_search,2,rmvpe_quant,0,5,0.0
brspeech,inner_search,2,ced,0,5,0.0
