dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc
brspeech,gate,1,6,1942,1.400092987203348,1.3174227665142304,0.6
brspeech,gate,2,6,1942,1.3939545230194963,1.1650602199486775,0.6571428571428573
brspeech,gate,3,6,1942,1.3704919127214155,1.1500060015393108,0.6571428571428573
brspeech,gate,4,6,1942,1.5544763339898473,1.3594489141668955,0.6
brspeech,gate,5,6,1942,1.4949363723770268,1.2943603229407208,0.6
brspeech,gate,6,6,1942,1.492205296964442,1.290907012432169,0.6
brspeech,gate,7,6,1942,1.4923502259322887,1.2910877982801787,0.6
brspeech,gate,8,6,1942,1.4920892990027868,1.2907643428117064,0.6
brspeech,gate,9,6,1942,1.4922002895135396,1.2909021525104654,0.6
brspeech,gate,10,6,1942,1.4920918349062005,1.2907651383062537,0.6
brspeech,inner_search,1,6,1942,1.7376943942461625,1.5431878947777102,0.6571428571428573
brspeech,inner_search,2,6,1942,1.3939545230194963,1.1650602199486775,0.6571428571428573
brspeech,inner_search,3,6,1942,1.5312991689985984,1.353318300816843,0.6
brspeech,inner_search,4,6,1942,1.553485258813059,1.3601056620591159,0.6
brspeech,inner_search,5,6,1942,1.494936705943059,1.2943606345556828,0.6
brspeech,inner_search,6,6,1942,1.4922023443752543,1.2909037557205016,0.6
brspeech,inner_search,7,6,1942,1.4922011232915324,1.290902578145154,0.6
brspeech,inner_search,8,6,1942,1.4921955785849819,1.2908948340838298,0.6
brspeech,inner_search,9,6,1942,1.4922006321333836,1.2909026625836963,0.6
brspeech,inner_search,10,6,1942,1.4920918349062005,1.2907651383062537,0.6
brspeech,shapley,1,6,1942,1.400092987203348,1.3174227665142304,0.6
brspeech,shapley,2,6,1942,1.3939545230194963,1.1650602199486775,0.6571428571428573
brspeech,shapley,3,6,1942,1.4097725721970187,1.1742971402105662,0.6571428571428573
brspeech,shapley,4,6,1942,1.374800680165453,1.1589518112481472,0.6571428571428573
brspeech,shapley,5,6,1942,1.3740101119220791,1.15854388493833,0.6571428571428573
brspeech,shapley,6,6,1942,1.4606778647437912,1.2836447722013562,0.6
brspeech,shapley,7,6,1942,1.459491397920875,1.2786016410816285,0.6
brspeech,shapley,8,6,1942,1.4547970757869264,1.2675213210650904,0.6
brspeech,shapley,9,6,1942,1.4920127040800568,1.2906621284447644,0.6
brspeech,shapley,10,6,1942,1.4920918349062005,1.2907651383062537,0.6
brspeech,singleton,1,6,1942,1.7376943942461625,1.5431878947777102,0.6571428571428573
brspeech,singleton,2,6,1942,1.400897521131348,1.187793427225127,0.6571428571428573
brspeech,singleton,3,6,1942,1.4214087470556884,1.1890090227467225,0.6571428571428573
