dataset,feature,max_absolute_prediction_difference,prediction_difference_rmse
brspeech,whisper,0.00014574618465257316,3.779117286760697e-05
brspeech,contentvec12,9.196925080168228e-05,2.3105780268904284e-05
brspeech,wavlm,8.594088828584034e-05,2.5303357148352418e-05
brspeech,beats,6.85167679552734e-05,2.1217325739479644e-05
brspeech,auditory_erb,3.504573426837965e-05,1.1240688397751486e-05
brspeech,speaker,4.715455743653507e-06,1.296871318017735e-06
brspeech,rmvpe_cont,2.666788460281566e-06,3.151760891729342e-07
brspeech,rmvpe_quant,0.0003017850397690758,3.5865354657865247e-05
brspeech,ced,2.801053595602454e-05,8.864431445740234e-06
brspeech,egemaps,5.9985765205272656e-05,5.765632200343787e-06
bvcc,whisper,0.0001786727562276269,4.886746442089896e-05
bvcc,contentvec12,0.0001006589970149463,2.362406491981972e-05
bvcc,wavlm,0.00020783341116903387,3.700505162023098e-05
bvcc,beats,0.00011764350632148535,2.8014598709814964e-05
bvcc,auditory_erb,5.288905483613604e-05,1.2484761267097985e-05
bvcc,speaker,2.543015920064562e-05,5.6362887564803465e-06
bvcc,rmvpe_cont,1.2675637043102483e-05,1.2057066832603815e-06
bvcc,rmvpe_quant,0.0005333051080644857,3.2198517271038956e-05
bvcc,ced,9.615185455413844e-05,2.0796238912015506e-05
bvcc,egemaps,3.3526861486166126e-05,6.3215443348909665e-06
singmos,whisper,0.0003861615298994536,7.357236753408499e-05
singmos,contentvec12,6.257935483189314e-05,1.668655041678838e-05
singmos,wavlm,0.0001638557873064883,2.3843675260887254e-05
singmos,beats,0.00013810835376926178,3.249260461292835e-05
singmos,auditory_erb,2.7973891029375864e-05,6.356578677157255e-06
singmos,speaker,9.073521035851684e-06,2.6988269543166544e-06
singmos,rmvpe_cont,3.731348496849307e-06,1.1591234277276223e-06
singmos,rmvpe_quant,0.0014080765478041712,7.790026878246156e-05
singmos,ced,0.0001484595092140495,1.765042694295123e-05
singmos,egemaps,1.894587763384692e-05,4.67852515221217e-06
tmhintqi,whisper,0.00011656374561952454,2.96753949027347e-05
tmhintqi,contentvec12,6.0567029148472784e-05,1.4400414597106354e-05
tmhintqi,wavlm,0.00033562523977970216,6.741696232406219e-05
tmhintqi,beats,0.0001826565985987294,4.160268186684089e-05
tmhintqi,auditory_erb,0.00016130668110703184,2.5266774367200145e-05
tmhintqi,speaker,1.6583288477090008e-05,4.184383178798067e-06
tmhintqi,rmvpe_cont,5.056574833517402e-06,8.191323180016028e-07
tmhintqi,rmvpe_quant,0.003273311064750928,8.696962192624652e-05
tmhintqi,ced,8.661742506577141e-05,1.9912827283723546e-05
tmhintqi,egemaps,0.0001468153802779426,1.447275806787667e-05
