scenario,candidate,reference,point_delta_pct,ci95_low_pct,ci95_high_pct,p_two_sided_bootstrap,n_corpora,n_budgets,n_bootstrap,datasets,budgets,p_holm_all_five
all_primary,gate,inner_search,-1.5056024906991292,-2.816578613753766,0.7380552694299679,0.18419999999999992,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.6943999999999999
all_primary,shapley,inner_search,-2.1451644672244847,-3.7734898744207315,0.7075294858035759,0.17359999999999998,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.6943999999999999
all_primary,singleton,inner_search,-0.7158469292298117,-2.9136496337159037,1.4385416522557082,0.6741999999999999,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,1.0
all_primary,gate,singleton,-0.7897555614693176,-3.296235980443557,1.2865606666736513,0.5793999999999999,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,1.0
all_primary,shapley,singleton,-1.4293175379946732,-3.2254997657444493,-0.06604417075421362,0.02960000000000007,4,4,10000,brspeech+bvcc+singmos+tmhintqi,1+2+3+5,0.14800000000000035
exclude_brspeechmos,gate,inner_search,0.762706956435892,0.0416373206985777,1.5443792956839368,0.039,3,4,10000,bvcc+singmos+tmhintqi,1+2+3+5,0.156
exclude_brspeechmos,shapley,inner_search,0.6299782583406579,-0.019329382338922618,1.3008313372894356,0.0572,3,4,10000,bvcc+singmos+tmhintqi,1+2+3+5,0.1716
exclude_brspeechmos,singleton,inner_search,0.7825489821073126,0.1396366197663972,1.45602265537386,0.0188,3,4,10000,bvcc+singmos+tmhintqi,1+2+3+5,0.094
exclude_brspeechmos,gate,singleton,-0.01984202567142058,-0.9792502975917714,0.9629073838150015,0.97,3,4,10000,bvcc+singmos+tmhintqi,1+2+3+5,1.0
exclude_brspeechmos,shapley,singleton,-0.15257072376665465,-0.7119000056997756,0.44010409104390275,0.6026,3,4,10000,bvcc+singmos+tmhintqi,1+2+3+5,1.0
exclude_k1,gate,inner_search,-0.9064349059428403,-2.7011690744786163,0.6766114849382739,0.6588,4,3,10000,brspeech+bvcc+singmos+tmhintqi,2+3+5,1.0
exclude_k1,shapley,inner_search,-1.4103002258300195,-4.343171369059977,1.1755897950184233,0.663,4,3,10000,brspeech+bvcc+singmos+tmhintqi,2+3+5,1.0
exclude_k1,singleton,inner_search,-0.9544625723064156,-3.8328134716317455,1.9208982770124368,0.6766000000000001,4,3,10000,brspeech+bvcc+singmos+tmhintqi,2+3+5,1.0
exclude_k1,gate,singleton,0.048027666363575396,-1.5726581880894153,1.3527820483040918,0.9794,4,3,10000,brspeech+bvcc+singmos+tmhintqi,2+3+5,1.0
exclude_k1,shapley,singleton,-0.4558376535236039,-1.1252812453277625,0.06175401204064504,0.08499999999999996,4,3,10000,brspeech+bvcc+singmos+tmhintqi,2+3+5,0.4249999999999998
