dataset,feature,protocol,gate_weight,singleton_mse_utility,leave_one_out_mse_utility,exact_shapley_mse_utility,train_gate_n,train_gate_median,train_gate_p025,train_gate_p975,train_gate_zero_count_lt_1e_6,train_gate_probability_zero_lt_1e_6,train_shapley_n,train_shapley_median,train_shapley_p025,train_shapley_p975,train_shapley_positive_count,train_shapley_positive_frequency_gt_0,frozen_expert_gate_n,frozen_expert_gate_median,frozen_expert_gate_p025,frozen_expert_gate_p975,frozen_expert_gate_zero_count_lt_1e_6,frozen_expert_gate_probability_zero_lt_1e_6,test_shapley_ci95_low,test_shapley_ci95_high,test_shapley_bootstrap_n,train_shapley_uncertainty_scope,test_shapley_uncertainty_scope,gate_zero_lt_1e_6,gate_zero_positive_shapley,loo_signed_le_1e_6_positive_shapley,loo_absolute_le_1e_6_positive_shapley,refit50_shapley_n,refit50_shapley_median,refit50_shapley_p025,refit50_shapley_p975,refit50_shapley_positive_count,refit50_shapley_positive_frequency
brspeech,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,6.359258670189269e-18,0.3614122761742793,-7.277932700944232e-10,0.0488491716875864,100,0.0120711254453103,0.0,0.2127360386869142,47,0.47,30,-0.0620068824199684,-0.5542545730799864,2.3677912087536166,12,0.4,200,0.0,0.0,0.1183830238902909,184,0.92,-0.0111499914645943,0.1088189792596976,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.0077813012608414995,-0.528787152603077,0.8166140448421967,25,0.5
brspeech,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.4720982504991485,-1.0070307920884147e-09,0.0513788281018004,100,2.1255100671264597e-17,0.0,0.4126485853055163,83,0.83,30,0.0482220813246766,-6.9281868913774485,3.1047362251557757,17,0.5666666666666667,200,5.499626107844562e-18,0.0,7.967324765557991e-16,197,0.985,0.0143285461988734,0.0907706473375798,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.0570421646027081,-7.024855329202419,0.38182262316651433,32,0.64
brspeech,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,1.7996308828059646e-16,0.5517785391335327,-9.532512101895209e-08,0.1201659923333755,100,0.0062527350344569,0.0,0.450419808855881,46,0.46,30,0.194535921474901,0.123076021440209,3.0791599001735226,30,1.0,200,1.554541833343483e-16,0.0,0.1965788678262995,118,0.59,0.0826200973064965,0.1753076384756689,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.18304127374052986,0.12075141801316501,0.7373865365839927,50,1.0
brspeech,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,1.3897018102695086e-17,-0.006492213430429,9.011485446741574e-09,0.0041731302452392,100,4.7872492934213956e-17,0.0,0.4116699115393574,69,0.69,30,0.1002741278423264,0.0034832773279025,3.8263608393005617,30,1.0,200,1.3813384339841884e-17,0.0,0.0760530633419118,178,0.89,-0.035189820058095,0.0416035906656216,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.08127171859152815,0.0027285812228537124,1.0206525655875862,49,0.98
brspeech,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.5884409960334402,3.2773868730018314e-08,0.1242963011463594,100,1.7861799519742876e-16,0.0,0.2167987721602276,54,0.54,30,0.154705102050856,0.0760814143163246,1.863083778118042,30,1.0,200,1.5429435700154083e-16,0.0,0.1359902399703393,121,0.605,0.0643714993776065,0.1839422959290917,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.15283370297292176,0.014903201993611694,0.5925351978863039,49,0.98
bvcc,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,3.700774296826724e-17,0.1781685862374141,-9.364053510374505e-08,0.0231557485873749,100,6.387242190311938e-18,0.0,4.7323537864578904e-17,100,1.0,30,0.0215672002074132,0.0150589391641514,0.0284797471339449,30,1.0,200,2.02380655645184e-18,0.0,6.367758546553295e-17,200,1.0,0.011841508157035,0.037417468600528,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.0224187724338639,0.015663367032627787,0.02777366211749753,50,1.0
bvcc,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,2.347903861383996e-17,0.0503485162313344,-1.0386481150148621e-07,0.0067889668954615,100,9.17707258790831e-19,0.0,2.575332340070672e-17,100,1.0,30,0.0079534793583475,0.0035843830613195,0.0112138305443665,30,1.0,200,9.244967572586665e-19,0.0,3.117592757843017e-17,200,1.0,0.0009995643201107,0.0130980963684823,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.00812829392991175,0.004088977910990318,0.011046457193344041,50,1.0
bvcc,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.0211115889358615,-1.0050276399997673e-07,0.0033863461246304,100,4.108043619734352e-19,0.0,2.872061464537838e-17,100,1.0,30,-0.0005286887493139,-0.0062690653394523,0.0031153520579513,14,0.4666666666666667,200,1.1945149789755764e-18,0.0,3.6638582848796666e-17,200,1.0,-0.0019408074849836,0.0091442055367744,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,7.175708685638202e-05,-0.005986596320357745,0.003838799092791792,26,0.52
bvcc,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0,0.3385513272668874,-9.873161704865296e-09,0.0499943334078764,100,1.2191599981459813e-18,0.0,0.0050280613599264,94,0.94,30,0.051022100265846,0.0417780946246628,0.0562968358341623,30,1.0,200,1.9787516828473013e-18,0.0,3.595232229187145e-17,198,0.99,0.0334228768240121,0.0684253497469762,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.05079871494410535,0.04344637432690198,0.05647036953207141,50,1.0
singmos,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,1.0052997299597864e-17,0.0418233909318368,-1.5407608577877596e-08,0.0180568906147349,100,5.714865120675759e-18,0.0,0.1365195732714827,73,0.73,30,0.028478622842805,0.0087433594467831,0.037385807546719,30,1.0,200,1.6520782066154092e-18,0.0,0.0235171919687787,182,0.91,0.0065935905601882,0.0289775341794374,10000,training_system_refit_fixed_observed_test_descriptive_30_replicates,test_system_resampling_fixed_fitted_models_utterance_weighted,True,True,True,True,50,0.026609218820356897,0.008888029677963424,0.03935529148528683,50,1.0
