dataset,feature,gate_weight,singleton_mse_utility,leave_one_out_mse_utility,exact_shapley_mse_utility,rank_gate_weight,rank_singleton_mse_utility,rank_leave_one_out_mse_utility,rank_exact_shapley_mse_utility
brspeech,whisper,0.02980055461108998,-0.34300389562315514,-0.004830073220423281,-0.04860383943499531,4.0,10.0,10.0,10.0
brspeech,contentvec12,0.1532288829605517,0.2955298401792492,0.023801895629682157,0.08847879827372059,3.0,7.0,2.0,5.0
brspeech,wavlm,0.3020849624986589,0.48755446303763417,0.023817684959505647,0.12949534139154478,2.0,4.0,1.0,2.0
brspeech,beats,6.3592586701892684e-18,0.3614122761742793,-7.277932700944234e-10,0.04884917168758641,8.0,6.0,7.0,7.0
brspeech,auditory_erb,0.0,0.47209825049914855,-1.0070307920884147e-09,0.05137882810180043,9.5,5.0,8.0,6.0
brspeech,speaker,1.7996308828059646e-16,0.5517785391335327,-9.532512101895207e-08,0.12016599233337558,5.0,3.0,9.0,4.0
brspeech,rmvpe_cont,1.3897018102695086e-17,-0.00649221343042905,9.011485446741574e-09,0.004173130245239281,7.0,8.0,6.0,8.0
brspeech,rmvpe_quant,2.8081378897856393e-17,-0.07762633107866068,6.966842047706479e-08,-0.0033499142704487344,6.0,9.0,4.0,9.0
brspeech,ced,0.0,0.5884409960334402,3.277386873001831e-08,0.12429630114635942,9.5,2.0,5.0,3.0
brspeech,egemaps,0.5148855999296992,0.651218799942125,0.01520083414215223,0.16929328751491415,1.0,1.0,3.0,1.0
bvcc,whisper,0.24948356301409777,0.40667354438386505,-0.002392055566558887,0.06564097665002128,1.0,6.0,10.0,6.0
bvcc,contentvec12,0.0613866786806006,0.46248026260222325,0.0023153486445190163,0.07943001857065198,6.0,5.0,3.0,5.0
bvcc,wavlm,0.16720539555582245,0.5346819564819836,0.0015861878040873967,0.09389853195481834,4.0,3.0,4.0,3.0
bvcc,beats,0.20028185678034421,0.565056422659086,0.010609331579143316,0.11369918928716503,3.0,2.0,2.0,2.0
bvcc,auditory_erb,3.700774296826724e-17,0.17816858623741416,-9.364053510374504e-08,0.023155748587374975,7.0,8.0,7.0,8.0
bvcc,speaker,0.09944090886036855,0.5004280680527892,0.0013632765161067928,0.08577724679109952,5.0,4.0,5.0,4.0
bvcc,rmvpe_cont,2.347903861383996e-17,0.050348516231334406,-1.0386481150148619e-07,0.006788966895461585,8.0,9.0,9.0,9.0
bvcc,rmvpe_quant,0.0,0.021111588935861514,-1.0050276399997671e-07,0.003386346124630486,9.5,10.0,8.0,10.0
bvcc,ced,0.2222015971087664,0.568244327427456,0.013927564625772798,0.11576342261762092,2.0,1.0,1.0,1.0
bvcc,egemaps,0.0,0.3385513272668874,-9.873161704865296e-09,0.049994333407876415,9.5,7.0,6.0,7.0
singmos,whisper,0.10357329591730864,-0.23499088081248165,0.002996007280428814,-0.011315403698671669,5.0,10.0,4.0,10.0
singmos,contentvec12,0.07613557020214748,-0.09188845323802819,-0.0025277700532762015,-0.000496324307445666,6.0,9.0,10.0,9.0
singmos,wavlm,0.21563143211779698,0.07816830368907396,0.003731597123838748,0.032092025998360266,2.0,5.0,3.0,5.0
singmos,beats,0.1525446447712445,0.09830203080397576,0.0013719465203900216,0.03749347645412316,4.0,4.0,5.0,3.0
singmos,auditory_erb,1.0052997299597863e-17,0.041823390931836846,-1.5407608577877596e-08,0.018056890614734915,8.0,6.0,9.0,6.0
singmos,speaker,0.007803350716647267,0.10524013291518197,0.00019434450771371736,0.03238366130837383,7.0,3.0,6.0,4.0
singmos,rmvpe_cont,6.998570022019254e-18,0.009233001167867738,2.8730186729664098e-08,0.011110005531432102,9.0,7.0,8.0,7.0
singmos,rmvpe_quant,4.211818390662805e-18,-0.06814181816522069,5.894772231451739e-08,0.0027011972363721578,10.0,8.0,7.0,8.0
singmos,ced,0.2313996295974314,0.17252693765546717,0.010918609229413734,0.06047271402876266,1.0,2.0,2.0,1.0
singmos,egemaps,0.2129120766774237,0.17382594669400947,0.011713853185603917,0.05787560629144525,3.0,1.0,1.0,2.0
tmhintqi,whisper,0.1921908739270383,0.5902976151338181,0.009079519472684816,0.10396707453386891,3.0,4.0,1.0,2.0
tmhintqi,contentvec12,0.07161319808488463,0.5262682778664185,0.0003072517821934295,0.08048643051013131,5.0,5.0,4.0,5.0
tmhintqi,wavlm,0.16968607164707633,0.6061906565536977,0.00645383394290272,0.10635058147464872,4.0,1.0,2.0,1.0
tmhintqi,beats,0.27102988535086064,0.5989495096884659,0.005810825692773691,0.10350273286130708,2.0,2.0,3.0,3.0
tmhintqi,auditory_erb,0.0,0.18611220290952646,3.506651913287584e-09,0.02215727982679565,9.5,8.0,8.0,8.0
tmhintqi,speaker,0.01175879950483767,0.49439381548924055,-1.1852257730815552e-06,0.07240336101846995,6.0,6.0,10.0,6.0
tmhintqi,rmvpe_cont,3.0830880931868354e-17,0.02933257337673001,4.94476531942567e-09,0.0023433231040376743,7.0,9.0,7.0,10.0
tmhintqi,rmvpe_quant,7.518079151371956e-19,0.029227094752064642,2.7420795079002858e-09,0.0032106215251430773,8.0,10.0,9.0,9.0
tmhintqi,ced,0.28372117148530235,0.5920338509262102,0.0002208647158629118,0.09636751170406627,1.0,3.0,5.0,4.0
tmhintqi,egemaps,0.0,0.48577856845524736,2.2021074630451665e-08,0.06949048836594007,9.5,7.0,6.0,7.0
