dataset,outer_fold,method,k,mask,features,inner_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
brspeech,0,gate,1,512,egemaps,1.5293188722962534,1.0431087515035795,1,628,"{""egemaps"": 1.0}"
brspeech,0,gate,2,516,wavlm+egemaps,1.0831815067803034,1.140346493169432,1,628,"{""wavlm"": 0.43955596733282737, ""egemaps"": 0.5604440326671727}"
brspeech,0,gate,3,518,contentvec12+wavlm+egemaps,1.0809070868739672,1.1191928674199154,1,628,"{""contentvec12"": 0.03703141926601326, ""wavlm"": 0.4201699722423125, ""egemaps"": 0.5427986084916743}"
brspeech,0,gate,4,550,contentvec12+wavlm+speaker+egemaps,1.0809070868739676,1.119192854929264,1,628,"{""contentvec12"": 0.037031432507824355, ""wavlm"": 0.42016995265898116, ""speaker"": 1.0934348316105763e-17, ""egemaps"": 0.5427986148331945}"
brspeech,0,gate,5,806,contentvec12+wavlm+speaker+ced+egemaps,1.0809070868739716,1.1191928745005126,1,628,"{""contentvec12"": 0.03703143941008951, ""wavlm"": 0.42017000389234377, ""speaker"": 0.0, ""ced"": 3.816391647148975e-17, ""egemaps"": 0.5427985566975666}"
brspeech,0,gate,6,870,contentvec12+wavlm+speaker+rmvpe_cont+ced+egemaps,1.0809070868739672,1.1191928662947794,1,628,"{""contentvec12"": 0.03703142215281399, ""wavlm"": 0.4201699717371996, ""speaker"": 8.398818054226568e-18, ""rmvpe_cont"": 0.0, ""ced"": 5.373302393417912e-18, ""egemaps"": 0.5427986061099863}"
brspeech,0,gate,7,871,whisper+contentvec12+wavlm+speaker+rmvpe_cont+ced+egemaps,1.0809070868740185,1.1191927684363523,1,628,"{""whisper"": 5.891074011648449e-17, ""contentvec12"": 0.03703159960147882, ""wavlm"": 0.42016987308582293, ""speaker"": 0.0, ""rmvpe_cont"": 0.0, ""ced"": 3.428374700695783e-17, ""egemaps"": 0.5427985273126982}"
brspeech,0,gate,8,879,whisper+contentvec12+wavlm+beats+speaker+rmvpe_cont+ced+egemaps,1.080907086874002,1.119192783149321,1,628,"{""whisper"": 0.0, ""contentvec12"": 0.03703156876886009, ""wavlm"": 0.42016988483144957, ""beats"": 0.0, ""speaker"": 1.2347341439329703e-16, ""rmvpe_cont"": 0.0, ""ced"": 0.0, ""egemaps"": 0.5427985463996902}"
brspeech,0,gate,9,895,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+ced+egemaps,1.0809070868739727,1.119192843774627,1,628,"{""whisper"": 1.7902436622261677e-16, ""contentvec12"": 0.03703142661999541, ""wavlm"": 0.42016992200646064, ""beats"": 4.998889672991458e-17, ""auditory_erb"": 1.5061917149432447e-16, ""speaker"": 0.0, ""rmvpe_cont"": 0.0, ""ced"": 0.0, ""egemaps"": 0.5427986513735437}"
brspeech,0,gate,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,1.0809070868739672,1.119192865121294,1,628,"{""whisper"": 1.2999846085177266e-16, ""contentvec12"": 0.03703142385279326, ""wavlm"": 0.420169970236189, ""beats"": 0.0, ""auditory_erb"": 0.0, ""speaker"": 6.142534470569684e-16, ""rmvpe_cont"": 2.8854530710187865e-16, ""rmvpe_quant"": 0.0, ""ced"": 4.805615505834726e-16, ""egemaps"": 0.5427986059110161}"
