dataset,scenario,n_players,zero_gate_positive_shapley_count,group_rank_rho_vs_original_aggregated,owen_rank_rho_vs_original,owen_sign_agreement,efficiency_error,game_total_mse_utility
brspeech,original_10,10,5,0.9999999999999999,0.9999999999999999,1.0,2.220446049250313e-16,0.6841770969890967
brspeech,rmvpe_grouped_9,9,5,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.6841770969890967
brspeech,prosody_grouped_8,8,4,1.0,0.9999999999999999,1.0,1.1102230246251565e-16,0.6841770969890967
brspeech,remove_rmvpe_quant_9,9,5,1.0,1.0,1.0,2.220446049250313e-16,0.6841770273206762
brspeech,remove_egemaps_9,9,2,1.0,1.0,1.0,2.220446049250313e-16,0.6689762628469444
brspeech,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,2.220446049250313e-16,0.6689762571524658
bvcc,original_10,10,4,0.9999999999999999,0.9999999999999999,1.0,2.220446049250313e-16,0.6375347808867207
bvcc,rmvpe_grouped_9,9,3,1.0,0.9999999999999999,1.0,2.220446049250313e-16,0.6375347808867207
bvcc,prosody_grouped_8,8,2,1.0,0.9999999999999999,1.0,0.0,0.6375347808867207
bvcc,remove_rmvpe_quant_9,9,3,1.0,1.0,1.0,1.1102230246251565e-16,0.6375348813894847
bvcc,remove_egemaps_9,9,3,1.0,1.0,1.0,1.1102230246251565e-16,0.6375347907598823
bvcc,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,0.0,0.6375348415548223
singmos,original_10,10,3,0.9999999999999999,0.9999999999999999,1.0,2.220446049250313e-16,0.2403738494574873
singmos,rmvpe_grouped_9,9,2,1.0,0.9999999999999999,1.0,8.326672684688674e-17,0.2403738494574873
singmos,prosody_grouped_8,8,1,1.0,0.9999999999999999,1.0,5.551115123125783e-17,0.2403738494574873
singmos,remove_rmvpe_quant_9,9,2,1.0,1.0,1.0,2.7755575615628914e-17,0.24037379050976498
singmos,remove_egemaps_9,9,2,1.0,1.0,0.8888888888888888,1.3877787807814457e-16,0.22865999627188338
singmos,remove_quant_and_egemaps_8,8,1,1.0,1.0,1.0,2.7755575615628914e-17,0.2286599589159773
tmhintqi,original_10,10,4,0.9999999999999999,0.9999999999999999,1.0,3.3306690738754696e-16,0.6602794049244085
tmhintqi,rmvpe_grouped_9,9,3,1.0,0.9999999999999999,1.0,3.3306690738754696e-16,0.6602794049244085
tmhintqi,prosody_grouped_8,8,2,0.9761904761904763,0.9999999999999999,1.0,2.220446049250313e-16,0.6602794049244085
tmhintqi,remove_rmvpe_quant_9,9,3,1.0,1.0,1.0,2.220446049250313e-16,0.6602794021823291
tmhintqi,remove_egemaps_9,9,3,1.0,1.0,1.0,1.1102230246251565e-16,0.660279382903334
tmhintqi,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,2.220446049250313e-16,0.66027938979734
