dataset,feature,protocol,exact_shapley_mse_utility,test_shapley_ci95_low,test_shapley_ci95_high,test_shapley_bootstrap_n,refit50_shapley_median,refit50_shapley_p025,refit50_shapley_p975,refit50_shapley_positive_frequency
brspeech,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,-0.0486038394349953,-0.1260857369977118,0.0476250695431965,10000,-0.0268261992294845,-0.33129132725753485,1.0387228823505634,0.38
brspeech,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0884787982737205,0.0030067991168331,0.1801350113900205,10000,0.0985138826634408,-0.1124363396984347,0.9388457846466489,0.88
brspeech,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1294953413915447,0.0485309591626235,0.2124528293402288,10000,0.16713800903329365,-0.05868940204535832,1.1240072178333358,0.92
brspeech,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0488491716875864,-0.0111499914645943,0.1088189792596976,10000,0.0077813012608414995,-0.528787152603077,0.8166140448421967,0.5
brspeech,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0513788281018004,0.0143285461988734,0.0907706473375798,10000,0.0570421646027081,-7.024855329202419,0.38182262316651433,0.64
brspeech,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1201659923333755,0.0826200973064965,0.1753076384756689,10000,0.18304127374052986,0.12075141801316501,0.7373865365839927,1.0
brspeech,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0041731302452392,-0.035189820058095,0.0416035906656216,10000,0.08127171859152815,0.0027285812228537124,1.0206525655875862,0.98
brspeech,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,-0.0033499142704487,-0.019050496528094,0.0236501118867636,10000,-0.015321300004273949,-1.2671485490418941,0.5486276841829951,0.38
brspeech,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1242963011463594,0.0643714993776065,0.1839422959290917,10000,0.15283370297292176,0.014903201993611694,0.5925351978863039,0.98
brspeech,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1692932875149141,0.0585335205150009,0.286971338879778,10000,0.4029355776474219,0.17010935725823223,3.4388036868497838,1.0
bvcc,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0656409766500212,0.0429708582187484,0.0893951111655124,10000,0.058574771047713456,0.04221350677948007,0.07386086049062739,1.0
bvcc,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0794300185706519,0.0575718189917619,0.1026578697303907,10000,0.07108123398163216,0.06561735421954648,0.07868503917060468,1.0
bvcc,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0938985319548183,0.0701022571166596,0.118954361442814,10000,0.0917057965436962,0.08008608542925873,0.10252785493793433,1.0
bvcc,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.113699189287165,0.0895791963654591,0.1402360209229509,10000,0.10882823583850025,0.09825905814422906,0.12107120644963916,1.0
bvcc,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0231557485873749,0.011841508157035,0.037417468600528,10000,0.0224187724338639,0.015663367032627787,0.02777366211749753,1.0
bvcc,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0857772467910995,0.062865174166429,0.1103741185229426,10000,0.09292034039733615,0.083639925569509,0.10164352873019948,1.0
bvcc,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0067889668954615,0.0009995643201107,0.0130980963684823,10000,0.00812829392991175,0.004088977910990318,0.011046457193344041,1.0
bvcc,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0033863461246304,-0.0019408074849836,0.0091442055367744,10000,7.175708685638202e-05,-0.005986596320357745,0.003838799092791792,0.52
bvcc,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1157634226176209,0.0908777317001361,0.1415337078173189,10000,0.1186463299863626,0.10833562061848151,0.12623890567967525,1.0
bvcc,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0499943334078764,0.0334228768240121,0.0684253497469762,10000,0.05079871494410535,0.04344637432690198,0.05647036953207141,1.0
singmos,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,-0.0113154036986716,-0.0520026968777426,0.0254984841228695,10000,-0.03413558755940045,-0.07516684429369333,-0.009211921296041453,0.0
singmos,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,-0.0004963243074456,-0.0213976394206163,0.0195298178678947,10000,-0.02126825953873355,-0.04030729098017859,-0.002243055130353679,0.0
singmos,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0320920259983602,0.0142140355611609,0.0495238423115329,10000,0.0312076212860745,0.010361266183862069,0.0537957396170074,1.0
singmos,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0374934764541231,0.0158760631383133,0.0597781830345028,10000,0.0238075074858817,0.004597449902718615,0.040072184947322946,0.98
singmos,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0180568906147349,0.0065935905601882,0.0289775341794374,10000,0.026609218820356897,0.008888029677963424,0.03935529148528683,1.0
singmos,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0323836613083738,0.0232463682033046,0.0411115852808362,10000,0.037263247234466654,0.025090762859817203,0.05535378213505628,1.0
singmos,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0111100055314321,0.004694149240029,0.0176910629359067,10000,0.0234911659206664,0.017116869181849906,0.03651495774039461,1.0
singmos,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0027011972363721,-0.0109442346778652,0.0143085860468405,10000,-0.012682648485240849,-0.051447472524159224,0.00781356385412394,0.24
singmos,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0604727140287626,0.0346679368934711,0.0858760612361976,10000,0.06579023656285045,0.04398301119572963,0.08269893116023799,1.0
singmos,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0578756062914452,0.0417994882083519,0.0735511904409648,10000,0.07408195418524645,0.0625574097020853,0.09600643232911271,1.0
tmhintqi,whisper,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1039670745338689,0.0605364683239936,0.1645799131085638,10000,0.0914352906429654,0.07790745456514934,0.10124187820347214,1.0
tmhintqi,contentvec12,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0804864305101313,0.0326877320994619,0.1476819793141447,10000,0.075958971416022,0.0686500641219033,0.08566704423315213,1.0
tmhintqi,wavlm,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.1063505814746487,0.0580252508505283,0.173604786872446,10000,0.10675095112427704,0.092791513069501,0.11719110129599362,1.0
tmhintqi,beats,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.103502732861307,0.0543311723170893,0.1709232145224029,10000,0.0989143438846527,0.07912829825877034,0.11066160586250912,1.0
tmhintqi,auditory_erb,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0221572798267956,0.0085797060352973,0.0388408760358417,10000,0.020225610387991297,0.015200718244570477,0.02614534111762938,1.0
tmhintqi,speaker,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0724033610184699,0.0334479238966747,0.1265525726935018,10000,0.07550887442501075,0.06388941102584307,0.0826452682084535,1.0
tmhintqi,rmvpe_cont,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0023433231040376,0.0008393240691022,0.0040254395825166,10000,0.00226288580697745,-0.0010922278282652449,0.005052539174189727,0.88
tmhintqi,rmvpe_quant,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.003210621525143,-0.0027380315554873,0.0092919486812905,10000,-0.0046190407603666495,-0.021157900097978168,0.001912160648997627,0.18
tmhintqi,ced,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.0963675117040662,0.04661398009989,0.1655664853792226,10000,0.10355940693283125,0.09379994719759552,0.12655301953984552,1.0
tmhintqi,egemaps,common_alpha_10_final_foldwise_egemaps_winsor_0p1pct,0.06949048836594,0.0255179989621545,0.1322776638948349,10000,0.0726795197987614,0.0586390472611911,0.07735982135668464,1.0
