dataset,spec,feature,median_weight,ci95_low,ci95_high,probability_zero
brspeech,basic,auditory_erb,3.3251708916609406e-17,0.0,0.6201576919982121,0.79
brspeech,basic,egemaps,0.7523712434236649,0.12261149714790204,0.9999999999999994,0.02
brspeech,basic,rmvpe_cont,7.42461647718052e-15,0.0,0.5852273464398849,0.51
brspeech,basic,rmvpe_quant,1.4923786808655812e-17,0.0,0.1283692194223203,0.79
brspeech,basic,speaker,0.08343476191954036,0.0,0.5621400559543579,0.33
brspeech,core,contentvec12,0.27470536663507483,2.9245116185745676e-17,0.5378343579752042,0.04
brspeech,core,rmvpe_cont,0.31904198691626645,1.7950361746932158e-17,0.7710771030812054,0.12
brspeech,core,rmvpe_quant,4.176872987632645e-17,0.0,0.22061632873398257,0.67
brspeech,core,speaker,0.26924725747460276,0.03461762525699951,0.8833457823964663,0.01
brspeech,core_plus_beats,beats,0.06193571472238597,0.0,0.34270899333862903,0.43
brspeech,core_plus_beats,contentvec12,0.2432657652833709,6.588401528104114e-18,0.49097028191687603,0.04
brspeech,core_plus_beats,rmvpe_cont,0.31300314373927585,0.0,0.679694689848815,0.16
brspeech,core_plus_beats,rmvpe_quant,7.319731166649093e-17,0.0,0.18665719782311968,0.71
brspeech,core_plus_beats,speaker,0.2596898945838554,3.030678922192212e-17,0.7986701808291884,0.04
brspeech,core_plus_ced,ced,0.21655329612062402,0.0,0.45917155940940846,0.24
brspeech,core_plus_ced,contentvec12,0.2391410115607447,0.007909518950301746,0.4726509778611505,0.01
brspeech,core_plus_ced,rmvpe_cont,0.18905497318820705,0.0,0.7648610085804775,0.19
brspeech,core_plus_ced,rmvpe_quant,5.13208527714112e-17,0.0,0.2159556434564362,0.72
brspeech,core_plus_ced,speaker,0.1897964183850204,0.014458589233234313,0.8652436901006373,0.03
brspeech,full,auditory_erb,2.125510067126459e-17,0.0,0.41264858530551635,0.83
brspeech,full,beats,0.012071125445310363,0.0,0.2127360386869143,0.47
brspeech,full,ced,1.7861799519742876e-16,0.0,0.21679877216022772,0.54
brspeech,full,contentvec12,0.07505218131231257,0.0,0.23419281203730483,0.19
brspeech,full,egemaps,0.43296904771081446,0.031105474097441334,0.8463779382024419,0.02
brspeech,full,rmvpe_cont,4.787249293421396e-17,0.0,0.4116699115393574,0.69
brspeech,full,rmvpe_quant,3.912324084125935e-17,0.0,0.09590789662303871,0.77
brspeech,full,speaker,0.006252735034456991,0.0,0.45041980885588107,0.46
brspeech,full,wavlm,0.12629085644331065,0.0,0.48087405692774277,0.24
brspeech,full,whisper,0.030080797025842744,0.0,0.12650788709879193,0.29
bvcc,basic,auditory_erb,0.0,0.0,2.519156055999416e-17,1.0
bvcc,basic,egemaps,0.2639586704001091,0.16185429254585199,0.36286354172091134,0.0
bvcc,basic,rmvpe_cont,5.995779646805415e-18,0.0,0.044990342237409116,0.67
bvcc,basic,rmvpe_quant,1.4244874213075197e-18,0.0,0.023689565726453768,0.86
bvcc,basic,speaker,0.7274667101206427,0.6371364582790886,0.8273784437567261,0.0
bvcc,core,contentvec12,0.3699962085610863,0.2922237716440552,0.44599405923797836,0.0
bvcc,core,rmvpe_cont,0.02684188317290799,0.0,0.0764252131129056,0.09
bvcc,core,rmvpe_quant,1.3321710677942009e-18,0.0,0.0288899543502022,0.74
bvcc,core,speaker,0.5912737677692101,0.5150966541724912,0.6760778547182691,0.0
bvcc,core_plus_beats,beats,0.36803809141967797,0.2829133991623852,0.4530073260319903,0.0
bvcc,core_plus_beats,contentvec12,0.25151670847573904,0.185689074597109,0.346439966459055,0.0
bvcc,core_plus_beats,rmvpe_cont,1.5507055681858103e-18,0.0,0.028139467962372655,0.86
bvcc,core_plus_beats,rmvpe_quant,0.0,0.0,0.009472546341763068,0.96
bvcc,core_plus_beats,speaker,0.37118422212924396,0.2978833457764026,0.4554576984687461,0.0
bvcc,core_plus_ced,ced,0.44555725914866595,0.3751651948982495,0.5306285308073642,0.0
bvcc,core_plus_ced,contentvec12,0.23832585704386355,0.16861403787446783,0.3125215638910063,0.0
