dataset,scenario,n_players,zero_gate_positive_shapley_count,group_rank_rho_vs_original_aggregated,owen_rank_rho_vs_original,owen_sign_agreement,efficiency_error,game_total_mse_utility,feature
BRSpeechMOS,original_10,10,5,1.0,1.0,1.0,2.220446049250313e-16,0.6841770969890967,
BRSpeechMOS,rmvpe_grouped_9,9,5,1.0,1.0,1.0,1.1102230246251563e-16,0.6841770969890967,
BRSpeechMOS,prosody_grouped_8,8,4,1.0,1.0,1.0,1.1102230246251563e-16,0.6841770969890967,
BRSpeechMOS,remove_rmvpe_quant_9,9,5,1.0,1.0,1.0,2.220446049250313e-16,0.6841770273206762,
BRSpeechMOS,remove_egemaps_9,9,2,1.0,1.0,1.0,2.220446049250313e-16,0.6689762628469444,
BRSpeechMOS,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,2.220446049250313e-16,0.6689762571524658,
BVCC,original_10,10,4,1.0,1.0,1.0,2.220446049250313e-16,0.6375347808867207,
BVCC,rmvpe_grouped_9,9,3,1.0,1.0,1.0,2.220446049250313e-16,0.6375347808867207,
BVCC,prosody_grouped_8,8,2,1.0,1.0,1.0,0.0,0.6375347808867207,
BVCC,remove_rmvpe_quant_9,9,3,1.0,1.0,1.0,1.1102230246251563e-16,0.6375348813894847,
BVCC,remove_egemaps_9,9,3,1.0,1.0,1.0,1.1102230246251563e-16,0.6375347907598823,
BVCC,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,0.0,0.6375348415548223,
SingMOS,original_10,10,3,1.0,1.0,1.0,2.220446049250313e-16,0.2403738494574873,
SingMOS,rmvpe_grouped_9,9,2,1.0,1.0,1.0,8.326672684688674e-17,0.2403738494574873,
SingMOS,prosody_grouped_8,8,1,1.0,1.0,1.0,5.551115123125783e-17,0.2403738494574873,
SingMOS,remove_rmvpe_quant_9,9,2,1.0,1.0,1.0,2.775557561562892e-17,0.2403737905097649,
SingMOS,remove_egemaps_9,9,2,1.0,1.0,0.8888888888888888,1.3877787807814454e-16,0.2286599962718833,
SingMOS,remove_quant_and_egemaps_8,8,1,1.0,1.0,1.0,2.775557561562892e-17,0.2286599589159773,
TMHINT-QI,original_10,10,4,1.0,1.0,1.0,3.3306690738754696e-16,0.6602794049244085,
TMHINT-QI,rmvpe_grouped_9,9,3,1.0,1.0,1.0,3.3306690738754696e-16,0.6602794049244085,
TMHINT-QI,prosody_grouped_8,8,2,0.9761904761904764,1.0,1.0,2.220446049250313e-16,0.6602794049244085,
TMHINT-QI,remove_rmvpe_quant_9,9,3,1.0,1.0,1.0,2.220446049250313e-16,0.6602794021823291,
TMHINT-QI,remove_egemaps_9,9,3,1.0,1.0,1.0,1.1102230246251563e-16,0.660279382903334,
TMHINT-QI,remove_quant_and_egemaps_8,8,2,1.0,1.0,1.0,2.220446049250313e-16,0.66027938979734,
